Date,Cape Winelands,Central Karoo,City Of Cape Town,Garden Route,Overberg,West Coast
"Mar 30, 2020",,,,,,
"Mar 31, 2020",0,0,16,4,2,0
"Apr 1, 2020",0,0,16,7,0,0
"Apr 2, 2020",5,0,12,5,2,0
"Apr 3, 2020",1,0,14,3,0,1
"Apr 4, 2020",0,0,21,5,0,1
"Apr 5, 2020",0,0,9,3,0,0
"Apr 6, 2020",0,0,12,1,0,0
"Apr 7, 2020",1,0,18,1,0,1
"Apr 8, 2020",0,0,14,0,0,0
"Apr 9, 2020",0,0,19,0,0,0
"Apr 10, 2020",0,0,23,1,0,0
"Apr 11, 2020",0,0,29,1,0,0
"Apr 12, 2020",0,0,20,-1,0,0
"Apr 13, 2020",1,0,36,-1,0,0
"Apr 14, 2020",1,0,23,0,1,0
"Apr 15, 2020",3,0,20,0,0,2
"Apr 16, 2020",4,0,26,0,0,0
"Apr 17, 2020",6,0,63,2,1,-1
"Apr 18, 2020",2,0,45,3,0,2
"Apr 19, 2020",14,0,30,0,0,0
"Apr 20, 2020",5,0,49,0,0,0
"Apr 21, 2020",13,0,52,0,0,1
"Apr 22, 2020",11,0,98,0,0,1
"Apr 23, 2020",18,0,156,0,0,0
"Apr 24, 2020",23,0,88,0,0,0
"Apr 25, 2020",0,0,87,0,0,0
"Apr 26, 2020",17,0,78,0,0,2
"Apr 27, 2020",8,0,145,1,0,0
"Apr 28, 2020",7,0,152,0,0,-1
"Apr 29, 2020",0,0,0,0,0,0
"Apr 30, 2020",16,0,360,0,2,0
"May 1, 2020",7,0,134,0,-1,0
"May 2, 2020",10,0,244,1,3,3
"May 3, 2020",6,0,307,1,1,-2
"May 4, 2020",10,0,310,0,1,1
"May 5, 2020",7,0,231,0,1,2
"May 6, 2020",1,0,79,0,0,0
"May 7, 2020",15,0,222,0,1,0
"May 8, 2020",13,0,468,1,3,10
"May 9, 2020",14,0,360,2,3,1
"May 10, 2020",13,0,336,0,1,2
"May 11, 2020",16,0,456,-1,4,5
"May 12, 2020",24,0,453,4,1,8
"May 13, 2020",25,0,534,3,5,10
"May 14, 2020",8,0,363,3,-1,2
