"WardID","Population"
"19100001",26434.07345
"19100002",29914.18993
"19100003",25735.6225
"19100004",33364.15882
"19100005",24480.76812
"19100006",36512.04739
"19100007",27867.71894
"19100008",29266.33749
"19100009",31735.90931
"19100010",30520.92345
"19100011",34320.70231
"19100012",35392.08542
"19100013",47175.49853
"19100014",37313.82793
"19100015",22773.84361
"19100016",42940.25127
"19100017",41077.23426
"19100018",26117.53305
"19100019",53584.65449
"19100020",42432.51538
"19100021",21962.01834
"19100022",30846.48923
"19100023",29183.45401
"19100024",30431.44927
"19100025",40210.32521
"19100026",38577.02598
"19100027",20525.96149
"19100028",35447.66376
"19100029",37490.44737
"19100030",35722.86606
"19100031",35327.94097
"19100032",43208.43629
"19100033",38412.1396
"19100034",35587.54954
"19100035",40066.83934
"19100036",31454.74694
"19100037",22185.36812
"19100038",23593.96352
"19100039",29136.09403
"19100040",35084.67669
"19100041",25003.56943
"19100042",25296.67351
"19100043",37911.50613
"19100044",38287.8289
"19100045",34766.82735
"19100046",29913.43927
"19100047",34625.20685
"19100048",24186.5117
"19100049",33313.93869
"19100050",32977.09871
"19100051",25874.86719
"19100052",23641.22435
"19100053",24926.64354
"19100054",22128.02263
"19100055",30716.0633
"19100056",33460.88254
"19100057",29938.35359
"19100058",27643.72
"19100059",19339.86066
"19100060",31679.16382
"19100061",30781.47844
"19100062",22000.96515
"19100063",31255.37885
"19100064",27992.4643
"19100065",31536.80666
"19100066",31083.70006
"19100067",48722.85929
"19100068",26373.01277
"19100069",34769.54716
"19100070",25112.41337
"19100071",25431.36511
"19100072",27877.36649
"19100073",26245.80857
"19100074",33437.63923
"19100075",36875.75452
"19100076",34847.8019
"19100077",22300.78895
"19100078",34138.60405
"19100079",43483.0294
"19100080",35900.01703
"19100081",38932.45798
"19100082",41382.06436
"19100083",24840.95848
"19100084",34970.95587
"19100085",33367.46383
"19100086",39176.93351
"19100087",26155.16568
"19100088",43774.64263
"19100089",32308.19533
"19100090",22175.40915
"19100091",32263.04506
"19100092",29926.52726
"19100093",35331.35495
"19100094",31603.90958
"19100095",40448.99023
"19100096",32030.49576
"19100097",27839.48779
"19100098",33594.9947
"19100099",42321.76181
"19100100",34447.71184
"19100101",37084.35265
"19100102",27039.68854
"19100103",25617.68815
"19100104",36973.6586
"19100105",33463.21877
"19100106",55100.4056
"19100107",25091.87663
"19100108",41988.30782
"19100109",33244.23867
"19100110",24905.59752
"19100111",35104.84445
"19100112",21837.1056
"19100113",27706.71044
"19100114",25998.88538
"19100115",30753.51319
"19100116",32014.57543
