WardID,age_0_10,age_10_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_80_plus
79800001,0.217582726,0.195462793,0.20865978,0.142900672,0.116582241,0.074141555,0.029426544,0.010777951,0.004465737
79800002,0.217176323,0.187477241,0.198868565,0.148600155,0.122573129,0.075297599,0.033747997,0.011771332,0.004487658
79800003,0.212929513,0.190390831,0.22310452,0.141251725,0.104807424,0.080916828,0.029972998,0.01107748,0.00554868
79800004,0.210487327,0.188241925,0.213443833,0.138065698,0.117336594,0.083154753,0.033723775,0.011450798,0.004095297
79800005,0.233066857,0.186020496,0.212845482,0.16156075,0.108368084,0.061853474,0.023412641,0.009563921,0.003308295
79800006,0.211700638,0.180253488,0.224226199,0.162510616,0.111476967,0.07051394,0.027026048,0.00912077,0.003171334
79800007,0.19821404,0.180743733,0.219525355,0.151951409,0.117496407,0.086938958,0.031512177,0.010229325,0.003388594
79800008,0.183637967,0.137138921,0.235788329,0.195065584,0.118619605,0.075045479,0.039502915,0.01177852,0.00342268
79800009,0.150695054,0.153087072,0.179500336,0.152069991,0.127125224,0.105387679,0.083022928,0.036782977,0.012328739
79800010,0.169628665,0.148934163,0.211718788,0.17042704,0.116840921,0.086647991,0.057878368,0.028533109,0.009390955
79800011,0.180978491,0.145406489,0.238238309,0.188557963,0.104462896,0.083170592,0.034967018,0.015533228,0.008685016
79800012,0.170546793,0.142722429,0.245112566,0.184248018,0.109340116,0.084467444,0.041498873,0.015087206,0.006976554
79800013,0.180016194,0.172915823,0.223632241,0.163690753,0.140719843,0.090792789,0.021957449,0.004704932,0.001569976
79800014,0.162019223,0.157971294,0.225616596,0.142660067,0.115880988,0.122400043,0.055163819,0.013910321,0.004377648
79800015,0.183065485,0.152108113,0.224763528,0.167763206,0.116328594,0.074091592,0.043451621,0.024415294,0.014012567
79800016,0.157188753,0.138070507,0.239523179,0.179338346,0.122253819,0.077563473,0.044301733,0.030120322,0.011639869
79800017,0.199502748,0.170527142,0.213448749,0.160656057,0.117713322,0.082301346,0.037183884,0.01369146,0.00497529
79800018,0.185986341,0.180208361,0.188900044,0.148307891,0.118426835,0.088053953,0.059999962,0.02360258,0.006514033
79800019,0.179355314,0.155014291,0.236879009,0.166375855,0.109678323,0.086625321,0.04075429,0.01785892,0.007458677
79800020,0.173253732,0.146029951,0.213131773,0.166242413,0.125361621,0.083483919,0.046587266,0.03256379,0.013345535
79800021,0.165040202,0.141180373,0.215828591,0.174701081,0.124738447,0.090794458,0.041876436,0.030774697,0.015065715
79800022,0.17422477,0.147163427,0.224219969,0.178084857,0.105991606,0.078475822,0.062678221,0.022058615,0.007102715
79800023,0.122161932,0.132916487,0.170033833,0.161760046,0.16469743,0.133666578,0.069350227,0.03316866,0.012244808
