"","Sub-District","Cases","Cases"
"1","G","79800001",6.29012383780604
"2","G","79800002",5.8338280299785
"3","G","79800003",5.48178862860455
"4","G","79800004",7.95973019811585
"5","G","79800005",8.1627484329556
"6","G","79800006",6.88473433019224
"7","G","79800007",7.92284654782769
"8","G","79800008",8.58578429431429
"9","G","79800009",5.7322142865702
"10","G","79800010",6.6294569996666
"11","D","79800011",8.05028363312019
"12","D","79800012",6.60657423498189
"13","D","79800013",7.46200414813798
"14","D","79800014",6.42729216888378
"15","D","79800015",6.48019723543577
"16","D","79800016",6.52856831196795
"17","D","79800017",9.79964173941138
"18","G","79800018",7.36153849952408
"19","D","79800019",6.27233843942923
"20","D","79800020",6.92763400474585
"21","D","79800021",7.07907627124267
"22","D","79800022",7.66786685886521
"23","F","79800023",17.9896489569017
"24","D","79800024",8.60366303206678
"25","D","79800025",8.61261590628814
"26","D","79800026",6.13677135709343
"27","F","79800027",18.1794854188119
"28","D","79800028",7.00501932507261
"29","D","79800029",7.30492961043374
"30","D","79800030",8.61601583931459
"31","D","79800031",6.48408234713158
"32","E","79800032",27.8481282065627
"33","D","79800033",6.75235620141421
"34","D","79800034",5.5538173065692
"35","D","79800035",5.70715169390704
"36","D","79800036",6.30524363779315
"37","D","79800037",7.27574128046024
"38","D","79800038",5.25394441559868
"39","D","79800039",6.00719967269194
"40","D","79800040",6.58857995551299
"41","D","79800041",7.16545941115791
"42","D","79800042",5.8004381489793
"43","D","79800043",6.32462772517684
"44","C","79800044",14.1469396123947
"45","D","79800045",7.5394504496769
"46","D","79800046",8.24508751654967
"47","D","79800047",7.11501704926562
"48","D","79800048",7.78722790281413
"49","C","79800049",12.7841065117644
"50","C","79800050",6.43868597774104
"51","D","79800051",6.87327286265753
"52","D","79800052",6.70446452600191
"53","D","79800053",8.00717767759082
"54","F","79800054",22.8691040579091
"55","F","79800055",17.7963906283193
"56","F","79800056",17.379065367285
"57","F","79800057",20.4951665690402
"58","F","79800058",21.429355089102
"59","F","79800059",3.09850240114387
"60","F","79800060",22.0233287329565
"61","F","79800061",9.48550895792566
"62","F","79800062",15.4753367453479
"63","F","79800063",13.884444086922
"64","F","79800064",20.425728303069
"65","F","79800065",14.8271063347905
"66","F","79800066",25.40249189434
"67","F","79800067",12.0673375871008
"68","B","79800068",25.4982510857694
"69","B","79800069",23.7216237824814
"70","C","79800070",8.57481249585467
"71","C","79800071",8.69910200443953
"72","E","79800072",14.4862506616521
"73","E","79800073",22.0295948188034
"74","E","79800074",21.251956905161
"75","E","79800075",17.8977708026134
"76","E","79800076",17.3855565675506
"77","A","79800077",14.62952898112
"78","A","79800078",18.2098130487949
"79","A","79800079",15.3796161085972
"80","A","79800080",12.809561494438
"81","E","79800081",26.1834796801914
"82","B","79800082",31.8418346032283
"83","C","79800083",5.90101202070478
"84","C","79800084",9.17085254515482
"85","C","79800085",7.1366601154356
"86","B","79800086",32.7142225006312
"87","B","79800087",21.3553602130471
"88","B","79800088",20.2468804632021
"89","C","79800089",7.20354722338495
"90","B","79800090",20.5756256177782
"91","E","79800091",20.551117981084
"92","A","79800092",14.0343892682301
"93","E","79800093",26.8442370519817
"94","A","79800094",9.07178976898912
"95","A","79800095",17.5489978745173
"96","A","79800096",18.1250513382432
"97","C","79800097",13.2633550026557
"98","B","79800098",27.2723521920524
"99","B","79800099",18.1047614294188
"100","C","79800100",13.6890881210487
"101","C","79800101",9.89397297672688
"102","B","79800102",29.5833410772092
"103","E","79800103",28.6815847355707
"104","B","79800104",26.4770777754338
"105","E","79800105",33.9365745673456
"106","E","79800106",25.4022363047551
"107","E","79800107",21.8952112266155
"108","E","79800108",25.4134129022828
"109","E","79800109",19.7483059629357
"110","A","79800110",14.1681592237173
"111","A","79800111",17.9821724555997
"112","A","79800112",13.099088318365
"113","A","79800113",30.5645145022338
"114","C","79800114",9.66790277171736
"115","A","79800115",13.3613425159491
"116","E","79800116",16.4445816248943
"117","B","79800117",17.608669259748
"118","F","79800118",15.6058749133511
"119","G","79800119",9.02353917933303
"120","G","79800120",8.28324387189246
"121","G","79800121",9.34922900825849
"122","G","79800122",9.04188233331858
"123","F","79800123",24.1393107886488
"124","F","79800124",24.069838586699
"125","F","79800125",20.3569745803357
"126","C","79800126",7.80887184294858
"127","C","79800127",10.7054740601952
"128","C","79800128",12.9172026448286
"129","C","79800129",10.3143759397643
"130","D","79800130",6.87597255088049
"131","G","79800131",6.45731152164181
"132","A","79800132",13.6324846214326
"133","A","79800133",17.3834904797725
"134","C","79800134",6.68403813324021
"135","D","79800135",10.0531955516787
