"WardID","Population"
"79800001",32888.09402
"79800002",30502.33822
"79800003",28661.69005
"79800004",41617.67906
"79800005",42679.16576
"79800006",35997.03214
"79800007",41424.83183
"79800008",44891.02097
"79800009",29971.04783
"79800010",34662.30725
"79800011",33273.75626
"79800012",27306.55848
"79800013",30842.25582
"79800014",26565.54263
"79800015",26784.21198
"79800016",26984.14126
"79800017",40504.27358
"79800018",38490.0165
"79800019",25925.08164
"79800020",28633.57564
"79800021",29259.52291
"79800022",31693.13586
"79800023",32188.00598
"79800024",35561.00626
"79800025",35598.01064
"79800026",25364.75032
"79800027",32527.67115
"79800028",28953.42776
"79800029",30193.02902
"79800030",35612.06338
"79800031",26800.27008
"79800032",35348.61273
"79800033",27909.11037
"79800034",22955.26118
"79800035",23589.02904
"79800036",26061.08673
"79800037",30072.38664
"79800038",21715.81448
"79800039",24829.19942
"79800040",27232.1838
"79800041",29616.56518
"79800042",23974.60437
"79800043",26141.20582
"79800044",51182.50727
"79800045",31162.35999
"79800046",34078.92751
"79800047",29408.07478
"79800048",32186.48373
"79800049",46251.88503
"79800050",23294.65601
"79800051",28408.88798
"79800052",27711.16257
"79800053",33095.58899
"79800054",40918.57823
"79800055",31842.21823
"79800056",31095.51839
"79800057",36671.00707
"79800058",38342.50526
"79800059",5544
"79800060",39405.27348
"79800061",16971.96092
"79800062",27689.26914
"79800063",24842.7621
"79800064",36546.76455
"79800065",26529.42192
"79800066",45451.44616
"79800067",21591.50161
"79800068",28335.06857
"79800069",26360.78193
"79800070",31022.9926
"79800071",31472.6622
"79800072",18387.90962
"79800073",27962.94279
"79800074",26975.85952
"79800075",22718.27263
"79800076",22068.10101
"79800077",38546.44304
"79800078",47979.91257
"79800079",40522.80132
"79800080",33751.12303
"79800081",33235.61556
"79800082",35384.40985
"79800083",21349.39421
"79800084",33179.4183
"79800085",25819.87117
"79800086",36353.85559
"79800087",23731.25882
"79800088",22499.45474
"79800089",26061.86343
"79800090",22864.77456
"79800091",26086.25992
"79800092",36978.34614
"79800093",34074.33823
"79800094",23902.69899
"79800095",46238.77145
"79800096",47756.57917
"79800097",47985.76812
"79800098",30306.54796
"79800099",20119.01345
"79800100",49526.03683
"79800101",35795.61076
"79800102",32874.64678
"79800103",36406.54854
"79800104",29422.79499
"79800105",43076.89274
"79800106",32243.95575
"79800107",27792.36495
"79800108",32258.1426
"79800109",25067.22227
"79800110",37330.80834
"79800111",47380.11642
"79800112",34513.97939
"79800113",80532.55295
"79800114",34977.70666
"79800115",35204.97679
"79800116",20873.68828
"79800117",19567.72836
"79800118",27922.83475
"79800119",47179.83502
"79800120",43309.17964
"79800121",48882.71369
"79800122",47275.74273
"79800123",43191.2975
"79800124",43066.99426
"79800125",36423.74685
"79800126",28251.87997
"79800127",38731.55742
"79800128",46733.4163
"79800129",37316.59539
"79800130",28420.04644
"79800131",33762.23965
"79800132",35919.39239
"79800133",45802.68623
"79800134",24182.32068
"79800135",41552.2724
