,e,s,i1,i2,c,r,d,compliance,contacts
0,750,97775,778,700,0,0,0,0.8795151788837197,8.609246906253505
1,1121,97404,668,602,3,205,0,0.8794583232084523,8.601454917763403
2,1463,97062,567,501,7,403,0,0.8801726923572718,8.600206167713207
3,1744,96781,459,402,13,604,0,0.8802834835183707,8.596211582481708
4,1215,96560,781,622,17,808,0,0.880568591014466,8.594636118584184
5,1383,96392,664,499,21,1044,0,0.8810450271199706,8.593291561698171
6,1311,96093,767,558,25,1249,0,0.881072847117671,8.589684552827674
7,1190,95872,879,584,31,1447,0,0.8815434725100589,8.589190982088306
8,1265,95516,1053,691,31,1447,0,0.8817183664901209,8.586390070956861
9,1438,95122,1193,772,31,1447,0,0.8820939607807098,8.58453485572234
10,1640,94752,1298,835,31,1447,0,0.8825056512444385,8.581396820527145
11,1714,94379,1462,970,31,1447,0,0.8829193547727499,8.578160148049138
12,1856,94016,1161,742,45,2183,0,0.8834592685915997,8.574736261526585
13,1935,93581,1379,880,42,2185,1,0.8836090368009709,8.57073896086073
14,1856,93266,1409,873,47,2550,2,0.8788404535932471,8.578907275377626
15,1855,92897,1398,912,45,2894,2,0.8770605839973515,8.604737476304095
16,1819,92560,1451,951,46,3172,4,0.8744709470643457,8.621132565080366
17,1814,92202,1523,1021,45,3392,6,0.8723376463709601,8.63686558986164
18,1744,91837,1678,1133,43,3560,8,0.8706269833412332,8.651478333255342
19,1823,91443,1714,1113,41,3860,9,0.8690661231843813,8.662690467060793
20,1873,91024,1809,1166,49,4073,9,0.8676706340088085,8.672508832697082
21,1989,90571,1803,1153,57,4421,9,0.8666395397580957,8.68162931602207
22,2100,90102,1793,1127,65,4807,9,0.8655248388128831,8.688449321764807
23,2179,89658,1800,1115,70,5172,9,0.8646749956931085,8.69525934036905
24,2202,89241,1821,1115,59,5554,11,0.8639252971577531,8.700937060763817
25,2216,88808,1854,1138,69,5907,11,0.8632152999476372,8.705692462017115
26,2148,88423,1880,1130,66,6343,13,0.862656705066384,8.71076102581657
27,2107,87995,1979,1185,65,6659,13,0.8620964289026514,8.712063029160843
28,2137,87521,2006,1233,67,7026,13,0.8616997630081153,8.715630227293415
29,2185,87056,2075,1244,69,7360,14,0.8613528169510465,8.718282566336477
30,2194,86614,2122,1272,70,7716,15,0.8610310799831404,8.72060904045866
31,2297,86126,2144,1270,72,8078,16,0.8608245184237848,8.720286317795761
32,2371,85624,2154,1294,67,8476,17,0.8605885464873118,8.7216161779443
33,2334,85187,2210,1293,66,8894,19,0.860424574251207,8.72283513384362
34,2345,84711,2217,1298,63,9348,21,0.8601823412665883,8.72266014921341
35,2404,84210,2199,1289,63,9816,22,0.8601452683780842,8.723552275412322
36,2409,83717,2235,1297,66,10257,22,0.8599756211892147,8.721528327851331
37,2428,83196,2265,1352,61,10677,24,0.8599511700978354,8.722272176978159
38,2490,82697,2254,1367,60,11111,24,0.859921454916542,8.722517348690927
39,2520,82191,2299,1413,60,11495,25,0.8598236776315186,8.722716255421158
40,2524,81686,2363,1422,58,11922,28,0.8598864990484275,8.723470845656879
41,2526,81191,2368,1436,59,12394,29,0.8598285318389963,8.721030801382827
42,2521,80675,2407,1453,66,12851,30,0.8598652436773333,8.721174121697898
43,2564,80133,2414,1503,68,13290,31,0.8599152003550273,8.7211031282622
44,2549,79642,2428,1507,68,13778,31,0.8599797426375204,8.721014952915535
45,2528,79158,2418,1520,67,14279,33,0.854453372459128,8.730063525720377
46,2534,78657,2449,1547,73,14709,34,0.8525724617856688,8.76133769728913
47,2495,78180,2492,1544,72,15186,34,0.8495176661863986,8.779457225390084
48,2459,77674,2525,1552,73,15685,35,0.8470777008307703,8.798070323615278
49,2474,77168,2512,1563,77,16173,36,0.8449844952385361,8.815110378178945
50,2494,76664,2489,1549,77,16692,38,0.8430424124603824,8.829332613832534
51,2535,76122,2513,1527,78,17190,38,0.84132703264738,8.842504225568169
52,2537,75643,2481,1530,82,17691,39,0.8342447435878578,8.863711404678998
53,2534,75140,2482,1530,95,18182,40,0.8308984578402481,8.9066922652746
54,2529,74639,2468,1555,93,18675,44,0.8266075631634505,8.9351366603999
55,2496,74168,2451,1560,89,19195,44,0.823056960010659,8.963213814086846
