,e,s,i1,i2,c,r,d,compliance,contacts
0,769,97775,704,755,0,0,0,0.012377298316124533,17.94118956092824
1,1481,97063,606,640,3,210,0,0.014624721841020415,17.725355709597043
2,2137,96407,500,525,9,425,0,0.02447920595811133,17.658407233937872
3,2649,95895,410,426,16,607,0,0.028572161084561308,17.540856616724373
4,2255,95520,814,575,21,818,0,0.033738479471007325,17.472397733887625
5,2579,95196,716,467,27,1018,0,0.03949570706605643,17.41496092661763
6,2407,94656,1050,645,35,1210,0,0.0418957096322526,17.331541314616445
7,2188,94219,1369,768,45,1414,0,0.048407272869671385,17.298415673367916
8,2430,93465,1688,961,45,1414,0,0.05208021177797425,17.20147368141908
9,2944,92576,1907,1117,45,1414,0,0.0591825626550959,17.13282644619648
10,3692,91504,2111,1237,45,1414,0,0.0651852331498059,17.02559655838832
11,4229,90427,2453,1435,45,1414,0,0.07230699780133519,16.92769729159607
12,4919,89300,2207,1349,56,2172,0,0.080121033150001,16.82270475236169
13,5409,88056,2670,1640,53,2175,0,0.08584435837050078,16.703412411332565
14,5587,86989,2762,1725,61,2877,2,0.09538081877649127,16.621406519639116
15,5767,85737,2995,1908,63,3530,3,0.1017726647581842,16.482881068453796
16,5997,84430,3366,2102,66,4038,4,0.11154574083080704,16.383149499953912
17,6216,83084,3841,2379,69,4409,5,0.11988001835765535,16.248536416298922
18,6433,81623,4437,2703,66,4734,7,0.13017185194734185,16.12159853484104
19,7028,79961,4751,2916,60,5277,10,0.14089695257192353,15.97328754181573
20,7557,78180,5269,3213,67,5707,10,0.1516394619362717,15.812111685264242
21,8155,76275,5578,3457,77,6451,10,0.16405547907291188,15.654214355245449
22,8808,74276,5870,3622,89,7328,10,0.17595122007441544,15.480027656784245
23,9374,72249,6090,3791,95,8394,10,0.18817904994211643,15.3149946678879
24,9795,70166,6420,4046,110,9454,12,0.19995990506693548,15.156143818271364
25,10037,68143,6820,4300,126,10565,12,0.21215651560067533,15.006158954159321
26,10260,66015,7164,4617,123,11810,14,0.22391659489342658,14.849958229045718
27,10355,63921,7733,4980,127,12871,16,0.23628928221656068,14.70104587397427
28,10335,61914,8193,5295,140,14108,18,0.2488465454778332,14.554225646863692
29,10355,59811,8682,5582,147,15408,18,0.2608869200042174,14.40686084624575
30,10461,57682,9083,5858,159,16740,20,0.2729947005418265,14.26045762503231
31,10395,55620,9527,6081,180,18179,21,0.28492717381824595,14.122557832700393
32,10321,53600,9787,6253,203,19815,24,0.2961490309541095,13.986145262895597
33,10373,51541,9892,6374,216,21579,28,0.30689220406190215,13.864520771486012
34,10260,49551,10012,6452,227,23470,31,0.31643836860049124,13.754504102978938
35,9965,47717,10100,6494,248,25448,31,0.3248255804070487,13.6592456656518
36,9727,45893,10150,6479,257,27456,41,0.3323628058532,13.577451122937997
37,9531,44069,10165,6401,276,29516,45,0.33843723135992787,13.506312885449024
38,9167,42374,10214,6388,295,31515,50,0.34325971571144304,13.458331634871207
39,8786,40765,10097,6367,317,33618,53,0.3471574991854771,13.426042757678003
40,8417,39300,9957,6247,321,35702,59,0.3499372150572265,13.402929404094259
41,8003,37890,9851,6170,339,37689,61,0.3512623275957809,13.391841483732374
42,7476,36593,9691,6051,355,39771,66,0.352126443613089,13.395691348217131
43,7061,35313,9417,5891,361,41887,73,0.35155839055463717,13.404340685825098
44,6660,34105,9066,5789,359,43942,82,0.3502972735066186,13.428389600217667
45,6365,32935,8699,5601,365,45946,92,0.34828385956137203,13.461527721944062
46,6056,31834,8297,5354,367,47995,100,0.3450455101034751,13.500436925686213
47,5699,30894,7863,5095,376,49967,109,0.34081418967871974,13.550174774734081
48,5354,29959,7526,4878,357,51806,123,0.33586072687572116,13.61047050305857
49,4987,29118,7202,4586,349,53628,133,0.33031091543065233,13.678320726331979
50,4571,28364,6824,4310,347,55449,138,0.3236443651991256,13.749859015356655
51,4169,27665,6430,4110,331,57143,155,0.3166866151266947,13.833269535056969
52,3845,27049,6066,3805,332,58741,165,0.30948719158740834,13.921648352120906
53,3498,26461,5726,3615,321,60208,174,0.30129286048747145,14.011477353455819
54,3183,25935,5390,3382,305,61622,186,0.2935351021041118,14.1091693117591
55,2947,25417,5086,3143,293,62920,197,0.2851097342989089,14.206945852131577
56,2701,24964,4706,2942,282,64197,211,0.276560054536918,14.307476016252155
57,2491,24558,4332,2724,264,65414,220,0.2679965044856873,14.41236556787081
58,2277,24184,3989,2485,254,66588,226,0.2591248707767313,14.51658945845064
59,2123,23812,3669,2230,234,67694,241,0.2500915003053028,14.62149365352755
60,1915,23502,3417,2060,227,68637,245,0.24079199021210823,14.731473891079355
61,1757,23207,3130,1865,211,69579,254,0.23203696237935528,14.841338777586698
62,1631,22927,2847,1713,193,70427,265,0.22284497106269865,14.947755349726021
63,1520,22664,2618,1562,183,71187,269,0.2142126808304101,15.057540670349912
64,1376,22436,2431,1422,168,71897,273,0.20563016750688695,15.16143748460023
65,1260,22242,2243,1304,158,72517,279,0.19726003918910384,15.263349381182861
66,1152,22055,2034,1220,151,73106,285,0.18936346818558916,15.364394335164121
67,1052,21875,1877,1131,136,73642,290,0.1818124391775795,15.458795029793668
68,949,21715,1693,1060,120,74173,293,0.1747038095521947,15.550161646844689
69,853,21583,1553,975,116,74627,296,0.16797166432087732,15.637066736050814
70,791,21451,1424,892,105,75040,300,0.16147973313281366,15.720042385443993
71,701,21354,1294,835,92,75422,305,0.15517955812577305,15.798616692558522
72,626,21249,1177,760,89,75797,305,0.14938847877622258,15.875500759541966
73,564,21151,1069,718,84,76110,307,0.14369753231062854,15.947662054529511
74,511,21072,984,640,78,76408,310,0.13851950212416766,16.018072463833462
75,462,20989,898,578,76,76688,312,0.1332519455499259,16.083093932736176
76,436,20918,816,494,67,76958,314,0.12850333305159597,16.1476247922777
