,e,s,i1,i2,c,r,d,compliance,contacts
0,309,99075,311,308,0,0,0,0.8790213308520916,10.021616989201812
1,484,98900,269,264,0,86,0,0.8789511705486598,10.01817465013788
2,657,98727,227,219,3,170,0,0.8792979473692284,10.01768249955339
3,781,98603,179,175,4,261,0,0.8793810673166439,10.016076884024647
4,590,98485,316,245,4,363,0,0.8794752825909276,10.015392944663581
5,668,98407,282,208,6,432,0,0.8796665288465977,10.014996963313028
6,648,98252,352,225,7,519,0,0.8796781701717133,10.013507401114614
7,599,98128,415,242,7,612,0,0.8798522330945214,10.013513382415649
8,722,97881,495,286,7,612,0,0.8799309034838503,10.012365247347716
9,885,97600,570,329,7,612,0,0.880117276591353,10.011826212879734
10,1054,97353,608,369,7,612,0,0.8802147443261001,10.010512259508463
11,1165,97087,707,425,7,612,0,0.8803969673649937,10.009726098412191
12,1295,96833,588,359,11,917,0,0.88062836384448,10.008349290207423
13,1311,96570,760,434,11,917,0,0.8807129090666986,10.006527517815803
14,1268,96332,836,464,11,1092,0,0.8755373807242893,10.015077405651995
15,1312,96041,867,507,12,1264,0,0.8736936421193957,10.04337971269755
16,1355,95732,948,568,12,1388,0,0.8708279862834845,10.060321962183604
17,1377,95456,1041,611,11,1507,0,0.8686911619190194,10.077390929204283
18,1406,95164,1171,666,11,1585,0,0.8667007478019035,10.091674770330082
19,1462,94870,1214,706,13,1738,0,0.8649600262506932,10.104453433161844
20,1522,94519,1323,764,13,1862,0,0.863492674818026,10.115360886541183
21,1546,94186,1346,803,16,2106,0,0.8622484431323535,10.124772033329316
22,1651,93805,1322,822,17,2386,0,0.8611878735441996,10.132671590746257
23,1764,93400,1364,825,19,2631,0,0.8603043264658558,10.139327151128702
24,1910,92960,1372,845,20,2896,0,0.8595481544927454,10.1447779766542
25,2018,92501,1410,904,21,3149,0,0.8588315176663696,10.149443453038169
26,2112,92074,1453,931,19,3413,1,0.8583526013509376,10.153539758754649
27,2208,91597,1535,992,23,3646,2,0.8579108930866028,10.156529044668392
28,2251,91149,1600,1041,26,3934,2,0.8576072974640065,10.158961759577581
29,2337,90623,1695,1077,26,4243,2,0.8573668551187582,10.160429666094162
30,2447,90054,1818,1137,29,4516,2,0.8572455150049836,10.161487699069706
31,2584,89490,1916,1174,30,4806,3,0.8571853401350473,10.161909583332019
32,2706,88891,2034,1239,34,5096,3,0.8571823421270732,10.161730752164948
33,2836,88313,2105,1265,37,5443,4,0.857236032889673,10.161653786099052
34,2921,87702,2223,1340,42,5771,4,0.8572341221297274,10.16096085943753
35,2987,87067,2344,1407,44,6149,5,0.8574402331803002,10.160556812007426
36,3113,86377,2431,1479,45,6552,6,0.8576023689661213,10.15916463012639
37,3214,85677,2510,1559,53,6984,6,0.8578588722486982,10.158101079625073
38,3293,85020,2580,1608,59,7436,7,0.8581229935781797,10.15634237822185
39,3444,84258,2703,1669,60,7862,7,0.8584136145525939,10.153737481387271
