,e,s,i1,i2,c,r,d,compliance,contacts
0,325,99075,298,305,0,0,0,0.8789640386824012,7.882564373064688
1,480,98920,252,258,2,91,0,0.8790157906411641,7.879280729706194
2,628,98772,210,209,3,181,0,0.8792214858504085,7.878209668539411
3,736,98664,173,167,6,257,0,0.8793467402376679,7.876614458075226
4,494,98581,325,248,8,347,0,0.8794338558277307,7.875979410038879
5,569,98506,289,213,8,418,0,0.8795948437408425,7.875507806487671
6,546,98374,347,206,12,518,0,0.8796004907795928,7.874362512745992
7,524,98248,399,229,14,589,0,0.8797206086285796,7.874051020812383
8,642,98022,460,276,14,589,0,0.879841941601294,7.87325889347555
9,814,97767,510,309,14,589,0,0.8799667698582033,7.872257382103593
10,986,97520,561,333,14,589,0,0.8801191425611652,7.87117716602412
11,1082,97292,647,379,14,589,0,0.8802795649432416,7.870016464931692
12,1149,97099,508,319,18,910,0,0.880504208590008,7.8687899336781255
13,1140,96882,643,410,16,911,1,0.8806019396491619,7.866627420792364
14,1047,96720,684,469,17,1065,1,0.8754423184400726,7.875147240902551
15,1000,96520,739,513,19,1211,1,0.8736664247145752,7.903398261852612
16,956,96336,814,558,17,1321,1,0.8708731663465986,7.919748009081208
17,975,96124,875,607,18,1403,1,0.8687030382898653,7.936138085327794
18,959,95923,951,673,15,1480,2,0.8668810396220202,7.950557519150798
19,1048,95672,963,691,16,1610,3,0.865219266719002,7.962374155241282
20,1113,95407,1026,702,18,1734,3,0.8638061958988983,7.972631262650541
21,1188,95148,1006,680,22,1956,3,0.8626027267799438,7.981649599010842
22,1226,94898,994,649,28,2205,3,0.8615233395063993,7.989029591629286
23,1312,94611,974,623,31,2449,3,0.8605893409303468,7.996151903724705
24,1333,94339,1009,611,32,2676,3,0.859717290764922,8.002033887989462
25,1352,94055,1054,638,33,2868,3,0.8589562807614757,8.007970115292704
26,1378,93770,1086,648,31,3087,3,0.8582838550336949,8.013272770589497
27,1420,93478,1145,677,27,3253,3,0.8576392884947249,8.017673588904433
28,1451,93160,1203,706,31,3449,3,0.8571314768177598,8.021999647837335
29,1481,92858,1272,725,31,3633,3,0.8566734468774961,8.025514818972841
30,1541,92514,1322,747,36,3840,3,0.8561947898582304,8.028845946709493
31,1649,92121,1377,776,39,4038,3,0.8558533015560473,8.031981233966418
32,1728,91750,1391,803,39,4289,3,0.8554919782826166,8.034073564681048
33,1784,91376,1448,799,40,4552,4,0.8553150340445749,8.036073795373802
34,1857,91001,1474,816,37,4814,4,0.8550059482942634,8.0353208215399
35,1898,90616,1529,855,39,5062,4,0.854888263992952,8.036995462426852
36,1915,90206,1587,903,40,5347,5,0.8547392453033877,8.037781083771431
37,1931,89819,1621,968,41,5618,5,0.8547134513242515,8.038572863068516
38,1989,89387,1672,1007,45,5898,5,0.8547200387925394,8.038357247477922
39,2015,88986,1725,1044,47,6181,5,0.8547658342629725,8.038070306523633
40,2043,88573,1777,1085,50,6469,6,0.8548689557821014,8.037612977626054
41,2106,88100,1809,1145,51,6785,7,0.8550080857680751,8.036227450409777
42,2234,87585,1865,1174,50,7086,9,0.8552759142584831,8.03533148045005
43,2270,87117,1916,1211,52,7425,12,0.8553642403321698,8.033515035291531
44,2396,86590,1916,1219,54,7815,13,0.8556315786586007,8.0323985767187
45,2438,86135,1961,1216,50,8189,14,0.8502887089171406,8.040130512850274
46,2458,85642,2037,1239,52,8560,15,0.8484881388276975,8.070622181625774
47,2416,85169,2124,1292,51,8935,16,0.8455060178267776,8.088373877786884
48,2433,84684,2165,1334,54,9317,16,0.8432243381385272,8.106582373161247
49,2447,84143,2233,1383,61,9719,17,0.8412786060133486,8.122580356973128
50,2521,83614,2262,1422,64,10101,19,0.8394876684010094,8.135570225937668
51,2579,83063,2295,1450,68,10528,20,0.8380057616094496,8.147599932748129
52,2666,82503,2333,1484,69,10927,21,0.8311834631206425,8.167174333806898
53,2753,81931,2385,1504,74,11335,21,0.8280690074388827,8.20816913638173
54,2799,81344,2414,1543,75,11805,23,0.8239918317768776,8.234925499325051
55,2814,80800,2417,1554,73,12319,26,0.8207702197514991,8.261276421341906
56,2825,80238,2482,1572,74,12785,27,0.8178822708505915,8.28431174984428
57,2789,79714,2503,1584,83,13302,28,0.8153108453315258,8.304482475050834
58,2800,79131,2599,1605,87,13753,28,0.8130536095040514,8.322502336422335
59,2751,78593,2672,1626,89,14244,28,0.8110406897492078,8.338320786664083
60,2810,77990,2731,1638,88,14717,29,0.809294620497672,8.351876740267748
61,2878,77360,2763,1683,88,15201,30,0.8077970430198838,8.364011274234617
62,2940,76774,2757,1672,94,15733,33,0.806509113669096,8.374028324890826
63,2972,76159,2798,1685,95,16260,34,0.8053469461126561,8.382797544409854
64,3037,75556,2780,1690,91,16812,37,0.8043909154804284,8.390704657287136
65,3044,74946,2830,1683,94,17368,38,0.803518171577473,8.39714993265761
66,2976,74384,2837,1734,94,17938,40,0.8027662456072623,8.403272618801585
67,2951,73823,2812,1758,99,18517,43,0.8021783106902234,8.40851894723759
68,2955,73204,2858,1783,98,19061,44,0.8016841417982806,8.412616469795179
69,2981,72575,2877,1805,98,19619,48,0.8012466314657967,8.415924030805618
70,2975,71971,2942,1826,100,20137,52,0.8010042888786979,8.418936149645129
71,2974,71410,2900,1847,98,20719,55,0.800723989891459,8.420714620316852
72,3019,70804,2934,1836,94,21258,58,0.8005181858202524,8.422295339121575
73,2948,70256,2934,1852,90,21864,59,0.8003750867730176,8.423743197155428
74,2949,69626,2947,1838,86,22496,61,0.8002679529819341,8.425511406947395
75,2931,69040,2964,1839,83,23085,61,0.8000585121900541,8.426179885451145
