,e,s,i1,i2,c,r,d,compliance,contacts
0,317,99075,309,302,0,0,0,0.8790854133555502,8.84550883709701
1,509,98883,262,254,2,93,0,0.8790397936571003,8.842784260277543
2,720,98672,230,213,3,165,0,0.8792156251406615,8.842328333881799
3,865,98527,182,156,8,265,0,0.8792253181349532,8.84113255144858
4,660,98415,342,233,13,340,0,0.879280535120812,8.841063773709276
5,736,98339,290,193,17,428,0,0.8793480915379892,8.840713284665584
6,685,98198,372,214,19,515,0,0.8793349266595868,8.839981356445206
7,594,98078,449,271,22,589,0,0.879408542380695,8.840369876155325
8,742,97785,537,328,22,589,0,0.8794962179277108,8.839649727796003
9,912,97503,606,371,22,589,0,0.8796782980920748,8.839149189116451
10,1064,97275,654,399,22,589,0,0.8797306488216332,8.8378722679605
11,1133,97065,738,456,22,589,0,0.8799615385890752,8.836979738839418
12,1182,96896,609,388,26,902,0,0.8800745622410278,8.835636388422403
13,1141,96644,804,486,24,904,0,0.8800553592380809,8.834485217497551
14,1060,96443,857,523,26,1094,0,0.8695289450213585,8.852788975867153
15,1047,96228,875,522,25,1305,1,0.8663212067772128,8.910666273702509
16,1092,95973,923,539,21,1451,4,0.861505196630562,8.939827169546692
17,1129,95767,960,559,19,1564,5,0.8584157683450373,8.967606400864803
18,1090,95554,1074,621,19,1640,5,0.8558488950404185,8.988369150750312
19,1123,95320,1106,649,18,1781,6,0.8539765605555585,9.003787669518562
20,1163,95065,1181,669,19,1900,6,0.8524894823445189,9.016233481523749
21,1124,94849,1138,674,21,2191,6,0.8514421602419862,9.02589590164929
22,1164,94603,1082,654,21,2473,6,0.8504411054111611,9.033018292829821
23,1199,94355,1069,652,23,2699,6,0.8497367339694687,9.039054525352938
24,1260,94060,1075,670,22,2909,7,0.8493221455592558,9.04400986134475
25,1286,93779,1118,713,27,3073,7,0.8488011862887136,9.046950021316556
26,1324,93525,1080,715,30,3322,7,0.8485246861955243,9.049858812340574
27,1361,93242,1118,722,32,3519,9,0.8482188011815276,9.0518410556063
28,1383,92972,1114,759,36,3730,9,0.8480532945766247,9.053671950511454
29,1379,92681,1144,769,37,3984,9,0.8478000528666986,9.054735138622645
30,1430,92349,1202,786,36,4190,10,0.847734030177871,9.055237612029748
31,1495,92030,1232,797,40,4398,11,0.8477197507351787,9.055290158074522
32,1549,91693,1257,821,41,4631,11,0.8477312341589782,9.055579124795601
33,1614,91358,1256,837,42,4885,11,0.8477631613550868,9.055269310958149
34,1675,91006,1307,861,44,5099,11,0.8476959442665266,9.055108244478864
35,1673,90676,1359,895,45,5344,11,0.8478571175970391,9.054378093386243
36,1700,90330,1434,891,47,5588,13,0.8479303327075522,9.053910403361037
37,1730,89963,1444,923,48,5882,13,0.8478939070689808,9.053130099159173
38,1810,89548,1470,951,46,6163,15,0.8480858658807586,9.05310278493055
39,1826,89180,1523,996,42,6421,15,0.8480483756637985,9.050361340062333
40,1864,88812,1580,986,43,6702,16,0.8482217089929587,9.050007865173425
41,1944,88386,1670,972,43,6972,16,0.8482091809346062,9.04618703232799
42,2029,87934,1711,1007,43,7263,16,0.8483354625192877,9.046023157994513
43,2049,87499,1789,1012,41,7596,17,0.8483921363168945,9.04552639341342
44,2115,87065,1803,1047,44,7911,18,0.8485504887018386,9.04482565779706
45,2191,86621,1845,1036,49,8243,18,0.8376100332525904,9.063666618548277
46,2224,86162,1922,1050,52,8575,18,0.8343422236203784,9.126294162204298
47,2227,85707,1968,1104,56,8922,19,0.8294236360278491,9.157321283209749
48,2262,85237,2002,1175,54,9252,21,0.8261930886913639,9.187133124625596
49,2291,84774,2037,1228,53,9596,24,0.8237335993141216,9.209683091550103
50,2369,84252,2087,1255,56,9959,25,0.8217516869821003,9.225807590891007
51,2368,83794,2095,1291,60,10370,25,0.8202825432414723,9.238427729264473
52,2391,83316,2144,1329,56,10742,25,0.8081278142338476,9.26844080216601
53,2423,82814,2192,1383,59,11106,26,0.803975399923114,9.341752609485063
54,2409,82365,2207,1405,65,11526,26,0.7984109308970907,9.380196558700758
55,2415,81837,2285,1397,67,11975,27,0.7947571100442891,9.414725461357614
56,2451,81343,2315,1390,72,12405,27,0.7917221555927626,9.440514280843061
57,2528,80788,2331,1418,71,12838,29,0.7894508368833723,9.461684911004781
58,2563,80251,2360,1447,71,13282,29,0.7875987925419485,9.477355703998947
59,2628,79737,2348,1449,70,13742,29,0.7862826015113072,9.489099242125173
60,2636,79201,2400,1470,68,14199,29,0.7853287228119686,9.498058017596245
61,2684,78659,2432,1462,68,14669,29,0.7845013471951253,9.504385593323319
62,2708,78080,2482,1504,64,15136,29,0.7838757239204563,9.509624803895395
63,2727,77524,2474,1527,64,15657,30,0.7833760688839317,9.513845546349115
64,2802,76935,2478,1579,67,16112,30,0.7830635133712492,9.516951387341333
65,2835,76366,2519,1596,67,16588,32,0.7829495129155183,9.519216686661817
66,2823,75836,2552,1603,63,17093,33,0.782752694936367,9.519056302847249
67,2831,75249,2618,1667,62,17541,35,0.7828393748295448,9.519962813454715
68,2818,74706,2644,1669,58,18068,40,0.7828395743011484,9.520379545079471
69,2794,74141,2715,1693,57,18561,42,0.7828972820792259,9.517717069264306
70,2791,73575,2697,1725,59,19112,44,0.7830074783157025,9.51822728674802
71,2807,73029,2670,1745,60,19646,46,0.7830507193206919,9.516185599199822
72,2807,72442,2743,1745,66,20154,46,0.7831599959408636,9.516207553540601
73,2828,71878,2729,1766,72,20684,46,0.7831838169995808,9.515702889939817
74,2839,71302,2736,1782,78,21219,47,0.7833243058323075,9.515414665114147
75,2832,70743,2755,1750,81,21794,48,0.7833055821614046,9.514654515168912
76,2860,70169,2733,1762,86,22345,48,0.7833931174313121,9.514366461773367
77,2865,69577,2728,1765,87,22933,48,0.7834540506182179,9.514210395705446
78,2816,69062,2744,1744,98,23491,48,0.7834209907667431,9.513620752092523
79,2787,68515,2787,1747,99,24019,49,0.7835006723782749,9.513655015831532
80,2759,67984,2756,1750,102,24601,51,0.7834451663527838,9.513864034229238
81,2737,67432,2787,1750,106,25137,54,0.7835237648643406,9.514255900718572
82,2669,66908,2812,1752,102,25706,54,0.7835272715761333,9.514331412165024
83,2674,66388,2771,1742,105,26268,55,0.7835210734613784,9.514254512452544
84,2618,65897,2762,1752,104,26814,56,0.7835417171585349,9.515099663213999
85,2584,65400,2716,1742,102,27400,59,0.783497980520253,9.515736970332174
86,2520,64912,2710,1736,98,27966,61,0.79440964149865,9.495379138282255
87,2500,64408,2684,1710,97,28541,63,0.7977346586137525,9.429877428313166
88,2455,63933,2654,1701,96,29100,64,0.8025627182167582,9.397154286784792
89,2435,63462,2602,1670,95,29674,65,0.8059241743423164,9.366784996963593
90,2409,62991,2544,1633,90,30269,67,0.8084018053870026,9.34329931853961
91,2341,62571,2527,1623,94,30780,67,0.8104159000284005,9.326585998041145
92,2266,62142,2532,1575,94,31325,69,0.8118187264814285,9.313531055789241
93,2232,61701,2491,1560,88,31862,69,0.8128617098577675,9.303961899454725
94,2164,61298,2447,1523,95,32407,69,0.8137753841447074,9.297700571285105
95,2062,60929,2404,1513,92,32931,72,0.814371201879247,9.291977057949799
96,2021,60550,2356,1461,93,33446,76,0.8148324739138795,9.287757728670098
97,1971,60171,2308,1447,89,33940,77,0.815110068459148,9.284895894787269
98,1899,59802,2260,1439,89,34436,78,0.8153875508201128,9.283081858263868
99,1879,59419,2208,1406,88,34924,79,0.8155147064107815,9.281958885434223
100,1864,59065,2107,1372,87,35428,80,0.8155726506733837,9.281057074134866
101,1837,58713,2044,1339,88,35902,80,0.815509959593154,9.281110655958376
102,1772,58399,1974,1317,88,36369,84,0.8154383010950003,9.282122714392413
103,1732,58070,1923,1266,92,36835,85,0.815372574289313,9.283062624161293
104,1660,57759,1917,1235,91,37252,89,0.8152932176037658,9.283512300351735
105,1610,57455,1877,1200,94,37677,90,0.8151546042441392,9.284208988992518
106,1552,57161,1835,1153,91,38115,96,0.8149826344384586,9.285445694774241
107,1534,56865,1772,1127,92,38516,97,0.8148760530474144,9.286702836080671
108,1472,56598,1740,1119,91,38885,98,0.8146882746380458,9.288313508054996
109,1426,56333,1706,1085,89,39264,100,0.8144347481227132,9.289505838780524
110,1385,56070,1667,1049,91,39638,103,0.8143404804917943,9.291636982516286
111,1325,55836,1617,1024,87,40011,103,0.8140611023580819,9.292620109718515
112,1284,55581,1539,1015,88,40392,104,0.8139729946003936,9.29407171467604
113,1252,55346,1496,971,86,40745,107,0.8137963251073842,9.295432599682659
114,1228,55105,1439,941,82,41098,110,0.8135588250041463,9.29643464086523
115,1199,54871,1411,918,74,41420,110,0.8134388971086387,9.29833208937744
116,1196,54640,1359,875,76,41747,110,0.8132763001001344,9.299246183890439
117,1143,54438,1323,855,75,42056,113,0.8131565893684433,9.300749879170729
118,1075,54271,1287,822,73,42362,113,0.8128567584692338,9.301571712833885
119,1021,54084,1260,796,73,42656,113,0.8126250497373937,9.303598677649752
120,963,53908,1229,765,68,42957,113,0.812558390177123,9.305138700618366
121,903,53737,1195,763,67,43225,113,0.8122844748719338,9.306219182157337
122,855,53583,1170,725,67,43489,114,0.8121420094612385,9.30856997729134
123,853,53418,1115,684,68,43751,114,0.8118327444851102,9.310056081628346
124,826,53258,1085,667,64,43988,115,0.811709001702025,9.312310322849244
125,804,53104,1032,641,65,44241,116,0.8114523744382823,9.312976588215497
126,801,52936,990,619,62,44478,117,0.8113211645406497,9.314780991854443
127,773,52810,945,577,62,44719,117,0.8110921877593836,9.316400951677407
128,759,52659,904,549,57,44958,117,0.810924987751906,9.317481708881573
129,730,52528,883,499,55,45187,121,0.8107059248813258,9.319086118590821
130,692,52412,859,475,52,45392,121,0.8106172706955456,9.320377207534865
131,646,52290,843,492,45,45565,122,0.8103168502659339,9.321634926763865
132,655,52155,794,480,47,45750,122,0.8102827787080653,9.322839888592856
133,618,52041,769,480,47,45925,123,0.8101010726241927,9.323488832486712
134,601,51927,735,474,41,46099,126,0.8100324485053289,9.324522149439709
135,597,51815,699,472,41,46252,127,0.8098803836667147,9.325578923807576
136,570,51720,664,464,39,46417,129,0.8097535243746999,9.326818501088459
137,531,51624,633,470,34,46581,130,0.8096457360511506,9.327946475662506
138,516,51525,592,471,34,46735,130,0.8096132495339007,9.328627249350829
139,489,51438,566,443,29,46907,131,0.8095247642654109,9.32882830138438
140,467,51348,566,429,25,47037,131,0.8095057810327387,9.329365391343703
141,452,51268,543,396,22,47191,131,0.8093675843406318,9.329853191368686
142,439,51185,526,378,22,47321,132,0.8093072827957527,9.330482999145216
143,423,51102,515,372,26,47433,132,0.8091682973680232,9.330878720035988
144,414,51024,503,349,24,47557,132,0.8090815021122122,9.331714702968675
145,393,50955,480,327,24,47692,132,0.8090428079369871,9.332118775161922
146,370,50898,471,302,24,47806,132,0.8088500367550391,9.33260737007042
147,353,50832,457,285,21,47920,135,0.808847481104132,9.334482344803108
148,327,50775,450,263,18,48034,136,0.8085822744384871,9.335039065978048
149,314,50710,439,257,17,48129,137,0.8084852494536673,9.33606263389631
150,316,50639,424,245,17,48225,137,0.8084309977988551,9.336853388038056
151,325,50573,397,230,18,48323,137,0.8082511811447377,9.337015914313955
152,308,50524,386,220,19,48409,137,0.8082653459348177,9.338203683867992
153,296,50479,366,207,19,48499,137,0.8080496569043133,9.339276133095709
154,281,50429,346,212,17,48581,137,0.8079731239946212,9.339595159077147
155,267,50372,336,210,13,48668,137,0.8079821218357204,9.34069276788919
156,251,50322,317,212,13,48751,137,0.8077595358431584,9.340808862633866
157,240,50284,301,199,12,48830,137,0.8077881706600551,9.34192322712299
158,239,50240,292,184,11,48900,137,0.8076384332761497,9.342331814020863
159,229,50200,295,174,13,48955,137,0.8076165753008826,9.34285484374533
