,e,s,i1,i2,c,r,d,compliance,contacts
0,311,99075,332,285,0,0,0,0.007951233614863846,17.522950845106603
1,548,98838,286,245,1,85,0,0.010217875241893175,17.398029956835543
2,782,98604,246,194,3,174,0,0.01615745163681581,17.345635918802063
3,974,98412,193,158,3,263,0,0.01937864744335857,17.27131444114818
4,849,98226,340,249,5,334,0,0.022916757728419335,17.222442694734884
5,986,98089,283,211,6,428,0,0.026801753700432362,17.179818576124376
6,1006,97832,371,268,6,520,0,0.02901706538717924,17.122827575396887
7,998,97606,472,310,7,610,0,0.03284198465476775,17.092052277055537
8,1135,97277,586,388,7,610,0,0.035290263543701766,17.038464872872655
9,1376,96850,708,452,7,610,0,0.03899380860335342,16.999248358364937
10,1755,96334,796,501,7,610,0,0.042071701090338864,16.94440316366017
11,2033,95799,953,601,7,610,0,0.045615215301026135,16.895631147266464
12,2365,95241,900,569,12,916,0,0.04956200776078752,16.843650813219703
13,2669,94608,1100,698,11,917,0,0.05245929069615959,16.777924827070784
14,2830,94020,1235,753,14,1151,0,0.05738808387571809,16.73132288992824
15,2964,93370,1424,846,18,1381,0,0.0608816380853277,16.65754731465738
16,3098,92701,1641,972,18,1572,1,0.06599659403013697,16.5994101317615
17,3275,91966,1865,1120,19,1757,1,0.07097611622294035,16.52389601626185
18,3499,91109,2156,1325,23,1890,1,0.07680799519988757,16.44715846364886
19,3893,90127,2362,1450,27,2143,1,0.08349765512458246,16.354331332936077
20,4316,89054,2625,1611,28,2368,1,0.09022973071096045,16.24716525609493
21,4768,87933,2836,1740,32,2693,1,0.09813377731184865,16.14520292154332
22,5249,86717,3001,1883,37,3115,1,0.1056171714999055,16.02808757897084
23,5637,85472,3196,2029,44,3624,1,0.11403327423206533,15.912698039864358
24,6003,84124,3478,2194,48,4153,3,0.122469387278361,15.785678293622443
25,6338,82716,3805,2382,53,4706,3,0.13141621460203015,15.66214616123611
26,6762,81171,4106,2569,59,5332,4,0.14050098691873325,15.531748463669391
27,7183,79534,4484,2819,64,5915,4,0.14992986969481714,15.404517708777618
28,7573,77899,4875,3023,77,6552,4,0.15992376007368142,15.276045350752902
29,7916,76208,5314,3263,84,7213,5,0.1695576306490518,15.143408755742756
30,8327,74389,5744,3506,93,7938,6,0.17988455120134805,15.01603204348
31,8661,72510,6161,3777,93,8792,9,0.19005997124279964,14.881962229226586
32,8899,70635,6552,4041,108,9759,9,0.2007528406603245,14.75143819413878
33,9196,68703,6885,4270,120,10819,10,0.21146475750059365,14.613767272702518
34,9501,66707,7256,4469,132,11926,12,0.22220739629239533,14.477303511495439
35,9646,64743,7613,4715,144,13128,14,0.23272456991857088,14.3452736927521
36,9723,62787,7989,4973,146,14369,16,0.24339134988240183,14.21408754752012
37,9874,60761,8277,5212,154,15709,16,0.25393837502864275,14.080931952834959
38,9976,58727,8593,5420,168,17098,21,0.2644087121646306,13.95213772552621
39,9989,56718,8874,5590,180,18626,26,0.27462933630224706,13.829066717890747
40,10095,54648,9100,5691,188,20251,30,0.28433525831909384,13.712375423043728
41,10063,52724,9272,5840,206,21864,34,0.2930448305872321,13.60547847191849
42,9916,50845,9447,6000,217,23538,40,0.3015289860681931,13.510564029712551
43,9679,49048,9593,6069,237,25335,42,0.3093266112709431,13.422458060358403
44,9391,47327,9651,6141,241,27202,50,0.31620140731587365,13.342233384276982
45,8988,45660,9803,6184,252,29059,57,0.3225564196802257,13.277676001877317
46,8622,44102,9795,6184,256,30982,62,0.3279318370824209,13.223418746605791
47,8374,42471,9699,6163,267,32963,66,0.3321886915578883,13.182407725323495
48,8059,40989,9556,6139,284,34908,68,0.3355402595816623,13.151059356881976
49,7780,39547,9413,6047,298,36846,72,0.3382027070507553,13.131608906791032
50,7387,38273,9194,5907,304,38857,81,0.3394747601044641,13.118043531967677
51,7080,37022,8925,5700,315,40870,91,0.33992982563258595,13.120266846483187
52,6655,35816,8718,5529,316,42874,95,0.3389760820970995,13.13599780757209
53,6218,34771,8345,5314,321,44928,106,0.3371749835088246,13.162727910012917
54,5753,33794,8042,5135,327,46839,113,0.3342364701253321,13.199163879988022
55,5457,32816,7713,4859,324,48713,121,0.3307730201243448,13.245041531486958
56,5132,31890,7394,4632,332,50499,124,0.3259520454504865,13.298882463897579
57,4777,31039,7111,4400,329,52218,129,0.32096098694284075,13.363092786676992
58,4456,30315,6763,4126,333,53875,135,0.31509587386521487,13.433593680728293
59,4157,29637,6394,3914,325,55428,148,0.3083961811589431,13.510418209615818
60,3845,28971,6003,3652,318,57060,154,0.3015564103236611,13.595588692077133
61,3542,28348,5701,3398,307,58543,164,0.2938442016001024,13.681054997293069
62,3335,27704,5350,3158,297,59982,177,0.28612490047317335,13.776121744206492
63,3127,27188,5005,2953,288,61252,190,0.2778493501497402,13.870732823063934
64,2965,26672,4648,2737,282,62504,195,0.26974122391927174,13.9721770894867
65,2728,26243,4310,2535,272,63712,203,0.26119835811460557,14.071996430957528
66,2500,25848,4061,2362,258,64766,208,0.25277344506476596,14.175077048910216
67,2212,25492,3853,2237,251,65744,214,0.24439472932937234,14.278252944667207
68,2035,25153,3520,2108,237,66725,225,0.23624704600656876,14.379505585665791
69,1845,24827,3213,2005,222,67658,233,0.228302680473329,14.477168284061912
70,1723,24520,2967,1829,210,68514,240,0.22080505795916008,14.572753112955056
71,1605,24243,2761,1706,197,69245,246,0.21284791797299932,14.666004524353342
72,1479,24013,2559,1586,190,69925,251,0.20544810084388823,14.760724581054749
73,1382,23771,2358,1460,180,70597,255,0.19805244962104743,14.850840355807488
74,1262,23565,2144,1377,173,71219,263,0.19084109029813745,14.94045045110848
75,1119,23401,1942,1242,160,71870,269,0.18410915782434273,15.027421932170338
76,1029,23214,1817,1128,153,72388,274,0.1771562187002378,15.109293355353259
77,968,23045,1646,1013,141,72911,279,0.17074669075028603,15.192587536126183
78,845,22926,1518,954,131,73346,283,0.1642151229917685,15.272705320877066
79,758,22807,1407,876,123,73745,287,0.1582664695124049,15.351998912346799
80,692,22709,1291,800,116,74104,291,0.15230712157461768,15.426241541133214
81,631,22583,1194,745,110,74447,293,0.14666731753862994,15.497747823396285
82,553,22492,1104,678,103,74774,299,0.14146525324535705,15.56758628341986
83,523,22403,992,602,101,75080,302,0.13627905079555058,15.63308693785527
84,487,22320,899,537,87,75367,306,0.13135643533771418,15.697609221999917
85,451,22258,822,482,86,75597,307,0.12647083279716556,15.75813379220819
86,384,22199,740,448,76,75848,308,0.12199839210146053,15.818425362102952
87,358,22134,661,412,71,76058,309,0.11772046390081212,15.87314621468706
88,327,22076,622,376,65,76224,313,0.11382606545186669,15.927190620261138
89,295,22025,556,338,60,76414,315,0.10997935786490544,15.977351877173446
90,269,21989,489,298,55,76588,315,0.10640610332636627,16.025079436243956
