,e,s,i1,i2,c,r,d,compliance,contacts
0,324,99075,307,297,0,0,0,0.016211290513138587,17.369987211142387
1,574,98825,265,255,1,83,0,0.020158280814263206,17.148791516606224
2,837,98562,221,204,3,176,0,0.02813689140615664,17.06587198929747
3,1054,98345,178,166,4,256,0,0.031987747181699215,16.973948680404458
4,889,98186,330,254,5,339,0,0.035332045436397994,16.9204261044948
5,1026,98049,286,209,6,427,0,0.03871704942614923,16.881147401922526
6,1028,97797,402,251,9,516,0,0.04003118446498778,16.834447098794286
7,977,97585,542,295,11,593,0,0.04243872078551243,16.818181532477098
8,1039,97306,680,374,11,593,0,0.04371378278985488,16.78611599273787
9,1314,96872,783,430,11,593,0,0.045726717165218,16.76306566097154
10,1701,96348,866,484,11,593,0,0.04739117986619359,16.731469115067505
11,2037,95760,1024,578,11,593,0,0.04917584763631754,16.705951358970296
12,2422,95163,952,538,14,914,0,0.051316480487121584,16.67535478929442
13,2817,94489,1115,654,13,915,0,0.05222818085802142,16.636965573181854
14,3081,93791,1221,732,13,1165,0,0.05495032968125849,16.61959318222337
15,3288,93060,1365,849,17,1424,0,0.05646905217362439,16.577337281433504
16,3536,92224,1604,981,22,1636,0,0.0594195903021062,16.54658166161647
17,3864,91299,1868,1155,23,1794,0,0.06217096179473813,16.497096072729494
18,4222,90267,2210,1350,22,1931,1,0.0657897189498045,16.447130892020063
19,4611,89180,2464,1542,24,2181,1,0.0698136037487696,16.381059323356265
20,5172,87888,2796,1729,28,2389,1,0.07431786187056365,16.31000033940795
21,5675,86549,3181,1901,33,2663,1,0.07915334836754899,16.23688142393047
22,6125,85174,3476,2097,37,3093,1,0.08396964016814937,16.161465204884944
23,6681,83586,3792,2289,45,3609,1,0.08916296763696611,16.080765406212667
24,7218,81962,4103,2477,52,4190,1,0.09457404850149391,15.999391905071283
25,7742,80146,4543,2732,63,4776,1,0.10013086983103708,15.91830775183774
26,8233,78316,4960,2980,70,5443,1,0.10628171740665099,15.82954369788215
27,8819,76355,5413,3204,79,6131,2,0.1125458836220514,15.73386708148427
28,9168,74418,5937,3537,83,6856,4,0.11904370081162251,15.640195210086498
29,9626,72336,6407,3855,90,7685,4,0.126294801052998,15.540718409817293
30,10004,70142,6928,4225,100,8600,4,0.13358069024709435,15.429491996490999
31,10475,67841,7414,4537,112,9619,5,0.1419910319673097,15.319786349474668
32,10834,65521,7911,4914,121,10697,5,0.14985068319122308,15.20222527206961
33,11286,63132,8333,5137,134,11974,7,0.1583702610685719,15.092628767014496
34,11603,60733,8800,5413,149,13297,8,0.16550594737026145,14.982890922025602
35,11866,58276,9296,5736,159,14659,11,0.17303327237320418,14.891962175057873
36,12068,55773,9716,6029,169,16235,13,0.1803159867099413,14.802657843299015
37,12137,53384,10178,6263,175,17850,16,0.18734780728647943,14.7175769372997
38,12010,51122,10569,6445,192,19645,20,0.19379413804182838,14.636849217721151
39,11930,48803,10904,6679,203,21461,23,0.19966799437605723,14.569730719588986
40,11732,46544,11249,6830,225,23395,28,0.2053363549810319,14.509874016976337
41,11316,44457,11549,7096,249,25305,31,0.21005883853319884,14.450721467022776
42,11082,42302,11719,7233,261,27372,34,0.21557994882295414,14.410425362112841
43,10837,40285,11750,7270,277,29543,41,0.2193906473472011,14.362115869169621
44,10432,38371,11744,7294,307,31812,43,0.22255138354484924,14.33407564491982
45,9976,36568,11683,7294,314,34123,45,0.2249221177357718,14.31297271646071
46,9612,34845,11483,7192,318,36503,50,0.2263493702068447,14.30800121676956
47,9101,33201,11324,7107,334,38884,52,0.22623074254286368,14.311837933170445
48,8582,31703,11028,6963,346,41324,57,0.22590083623909787,14.333682038778367
49,8119,30252,10633,6769,359,43811,60,0.22425365513560808,14.365279051723624
50,7638,28930,10274,6542,367,46185,67,0.22168868103543085,14.403093730486937
51,7128,27717,9955,6322,368,48438,75,0.21838339467670792,14.45758525456002
52,6575,26626,9597,6005,370,50747,83,0.214234954342762,14.516857473926924
53,6153,25550,9103,5738,361,53004,94,0.20913628489092603,14.584334402466766
54,5616,24636,8719,5486,366,55081,99,0.20373295191379628,14.661675027617845
55,5128,23802,8226,5146,371,57223,107,0.19815170727530443,14.743471897576073
56,4717,23000,7756,4812,355,59245,118,0.191612600010927,14.824597508135422
57,4306,22320,7306,4439,356,61152,124,0.18478968738698687,14.91805180794779
58,3848,21702,6820,4198,366,62937,132,0.17714499805858316,15.013891008606944
59,3481,21155,6306,3903,353,64664,141,0.17057090912479872,15.111128341282551
60,3170,20632,5788,3611,339,66309,154,0.16327335396919765,15.200680784960811
61,2828,20172,5345,3358,329,67807,164,0.1561918436182522,15.29520843239837
62,2585,19735,4844,3088,320,69258,173,0.14944355959719927,15.384269429526334
63,2354,19348,4409,2819,320,70570,183,0.14270126196235797,15.470682417727758
64,2149,19006,3987,2575,302,71790,194,0.13612586528907863,15.557296428606415
65,1935,18697,3618,2376,291,72884,202,0.12970918453945793,15.640544808653322
66,1755,18417,3269,2109,279,73966,208,0.12377694641253804,15.717110507359472
67,1550,18185,2968,1933,257,74887,223,0.11752033580347357,15.790857417144824
68,1387,17961,2701,1753,237,75734,230,0.11220693940209434,15.868733657672088
69,1241,17765,2436,1558,226,76538,239,0.10665708947809198,15.937590243741734
70,1119,17578,2221,1402,207,77229,247,0.10128179236940489,16.00563299847972
71,991,17426,2027,1258,200,77847,254,0.09636030388567567,16.070944171664898
72,921,17264,1838,1132,194,78394,260,0.09184621854076595,16.13031673216335
73,828,17133,1653,1018,185,78919,267,0.08770696665101278,16.18320441800022
74,743,17022,1490,917,169,79389,273,0.08386078115254933,16.233568005344786
75,662,16916,1352,805,152,79837,279,0.08035716337304934,16.281994025395534
76,596,16830,1187,735,143,80229,283,0.07682755336892948,16.32403408649828
77,520,16744,1068,674,133,80577,287,0.07405982212887875,16.36546089738288
78,449,16684,978,586,119,80894,293,0.07135878230556891,16.398379130555963
79,412,16610,866,529,108,81178,300,0.06875666533025428,16.430521692443655
80,371,16545,770,499,107,81409,302,0.06662187023297333,16.46144979657317
81,329,16501,690,441,98,81639,305,0.06483916210700791,16.48824151226748
82,296,16448,619,402,85,81845,308,0.06287754140401647,16.510260216251517
83,269,16415,537,357,74,82041,310,0.06127973425511818,16.532320512318936
84,229,16381,488,328,63,82202,312,0.05976052005379166,16.55235650312364
85,207,16338,427,292,56,82369,314,0.05840257591094697,16.56882972290653
86,185,16316,367,265,50,82503,317,0.05717858600708724,16.585277416108166
87,166,16282,333,241,42,82619,320,0.056075797387410184,16.60022912461683
88,160,16255,296,205,37,82729,321,0.055022828277663055,16.612967639821242
89,145,16236,267,182,35,82817,321,0.05403909080346015,16.625043056284767
90,117,16221,243,163,35,82903,321,0.05317654759789742,16.636984629828344
91,115,16201,217,151,32,82965,322,0.052461663820893824,16.646562757188086
92,89,16193,199,129,26,83044,323,0.05188223744779293,16.65546107414721
93,81,16174,175,115,20,83115,323,0.05116923904736707,16.66214374507143
94,71,16165,162,103,19,83160,323,0.05060614793214319,16.67031823627128
95,63,16158,136,91,16,83216,323,0.05008174424742052,16.67786598024612
96,52,16149,129,85,15,83250,323,0.04953531835977576,16.68397973034791
97,53,16140,115,73,11,83287,324,0.04917542100253459,16.69027623162882
98,41,16133,96,68,9,83330,326,0.048742086886583054,16.695024706054085
99,40,16125,90,61,11,83350,326,0.04835763482842342,16.70005300014678
100,41,16117,73,51,10,83384,327,0.04814705332927119,16.704579504941346
101,36,16113,62,44,9,83412,327,0.0478060114068924,16.707927405995797
102,31,16109,53,43,6,83434,327,0.047566788326899,16.711090535562555
103,27,16106,51,37,5,83450,327,0.047388526969422466,16.714030589592358
104,21,16104,44,32,5,83470,327,0.04708286120873791,16.71585124578274
105,19,16098,43,33,5,83478,327,0.0469871456085712,16.718396719375217
106,20,16093,36,25,5,83497,327,0.04688638632230366,16.719889503109084
107,19,16090,33,23,5,83506,327,0.04676830747599695,16.721113233412336
108,16,16090,31,21,5,83513,327,0.04660010723932324,16.722513069455218
109,16,16088,31,14,5,83522,327,0.04657582360123563,16.72434984394296
110,12,16086,32,10,4,83532,327,0.04646629029260594,16.724672773520396
111,8,16085,30,10,1,83541,328,0.04633174761059668,16.726515294717107
112,7,16083,24,11,0,83550,328,0.046254942957235694,16.728143736476994
113,7,16083,18,9,1,83557,328,0.04621044575711166,16.729073981702115
114,6,16082,18,7,1,83561,328,0.046137433795400404,16.729678942758817
115,4,16082,16,7,1,83565,328,0.04603828156684088,16.730260835476376
116,3,16082,13,8,1,83568,328,0.04613011695183352,16.731003827559565
117,1,16082,11,10,1,83570,328,0.04608200102538828,16.730368155365646
118,3,16080,6,9,1,83576,328,0.046093225591537945,16.730468014625956
119,2,16080,3,8,1,83581,328,0.046049433696389044,16.730569953112393
120,2,16080,3,5,1,83584,328,0.04602675459222784,16.731054095038058
121,3,16079,3,5,1,83584,328,0.0459772807682212,16.73143516128606
122,4,16078,2,4,1,83586,328,0.04605360882460805,16.732070332596813
123,3,16077,2,4,1,83588,328,0.045925732964311884,16.73114513271528
124,3,16077,2,3,1,83589,328,0.04592544651088035,16.732166855191554
125,3,16077,2,1,0,83591,329,0.04592291708045172,16.732629837982113
126,2,16077,3,1,0,83591,329,0.04589243181132173,16.732368803143984
127,1,16077,3,1,0,83592,329,0.0458646252354073,16.732836369974432
128,0,16077,4,1,0,83592,329,0.045846648836532874,16.733316869189103
129,0,16077,4,1,0,83592,329,0.04588116751776322,16.733466655283827
130,1,16076,4,1,0,83592,329,0.045762506270904876,16.73321414069904
131,1,16076,3,0,0,83594,329,0.04581929109215624,16.73449350024516
132,2,16075,3,0,0,83594,329,0.045805765383383344,16.733924537784358
133,3,16074,3,0,0,83594,329,0.04573509578124127,16.73410242641537
134,3,16074,2,0,0,83595,329,0.045744618154098735,16.734350323428153
135,2,16074,1,1,0,83596,329,0.045760817585687105,16.734869748998268
136,2,16074,0,1,0,83597,329,0.04581366787281207,16.734559814727866
137,1,16074,0,2,0,83597,329,0.045780826887097316,16.73402946298965
138,0,16074,0,3,0,83597,329,0.04583267367780598,16.73412151082546
139,0,16074,0,3,0,83597,329,0.04586259917887881,16.73367271891886
140,0,16074,0,3,0,83597,329,0.045845938595048014,16.733427335652667
141,0,16074,0,3,0,83597,329,0.04588035774954135,16.73348463128628
