,e,s,i1,i2,c,r,d,compliance,contacts
0,726,97775,736,766,0,0,0,0.8794196222965464,7.517905492698061
1,1054,97447,633,661,4,204,0,0.8793922954487162,7.510662296111431
2,1395,97106,538,544,6,414,0,0.8797500917978459,7.5097050358060216
3,1675,96826,429,422,11,640,0,0.8796592120950762,7.508082362947694
4,1145,96630,761,598,13,856,0,0.8797076007712125,7.5083948883556495
5,1316,96459,654,502,16,1056,0,0.8799015718059758,7.508821313691703
6,1247,96200,732,543,19,1262,0,0.8796863142797943,7.50732436865336
7,1170,95936,828,567,24,1478,0,0.8798797224864241,7.508276610235229
8,1248,95578,1000,675,24,1478,0,0.8799678452883584,7.507382041570052
9,1388,95242,1113,758,24,1478,0,0.879993649687865,7.506314905893707
10,1601,94858,1216,826,24,1478,0,0.8803391310373765,7.504515696287244
11,1715,94485,1370,931,24,1478,0,0.8803858976109507,7.5028204652653026
12,1794,94142,1094,745,39,2189,0,0.8806760311235698,7.501844215330921
13,1802,93776,1321,876,35,2193,0,0.8804188973263554,7.500134118535519
14,1768,93474,1329,876,35,2521,0,0.8629570865728078,7.532040443612938
15,1724,93134,1372,876,35,2861,1,0.8589844026435134,7.627447046100543
16,1691,92794,1432,909,39,3136,2,0.8534599573043201,7.663477631664438
17,1695,92447,1538,950,39,3332,2,0.8506629586117745,7.69375023219195
18,1653,92123,1669,1014,37,3504,3,0.8488896882477734,7.7124875862281055
19,1723,91751,1706,1020,34,3766,3,0.8478811136357558,7.722296591241567
20,1785,91349,1761,1041,36,4028,3,0.8471554547749119,7.728526382703652
21,1879,90915,1750,1034,48,4374,3,0.8469347267574323,7.73240751379079
22,1893,90554,1756,1039,54,4704,3,0.8466760626153689,7.734343718612633
23,1964,90159,1704,1031,57,5085,3,0.846582182147082,7.734741182051777
24,1993,89758,1666,1068,46,5467,5,0.846453234632352,7.735812228104188
25,2012,89337,1699,1094,52,5804,5,0.8464549668032827,7.736465117780811
26,1992,88923,1735,1126,56,6166,5,0.8465216920548301,7.736250551125211
