,e,s,i1,i2,c,r,d,compliance,contacts
0,727,97775,776,725,0,0,0,0.8791156106535329,8.145819429880744
1,1012,97490,667,623,2,209,0,0.8791087847268901,8.139288302595897
2,1306,97196,568,518,5,410,0,0.8789626601638644,8.138880609518328
3,1548,96954,460,419,9,613,0,0.8793301745824639,8.140806566058348
4,1056,96719,796,593,17,822,0,0.8788216829790495,8.138933543980405
5,1211,96564,667,491,20,1050,0,0.879073648097368,8.14169831371535
6,1189,96301,706,512,27,1268,0,0.8791046056985015,8.139486042578968
7,1133,96063,793,513,33,1468,0,0.8791762176279072,8.139132414331009
8,1198,95756,948,600,33,1468,0,0.8790151550817714,8.140444478583138
9,1284,95435,1086,697,33,1468,0,0.8792869345454813,8.138960416339998
10,1485,95079,1184,754,33,1468,0,0.8793412459712228,8.137656450191093
11,1624,94677,1356,845,33,1468,0,0.8794324671469366,8.138133259045532
12,1772,94291,1057,655,45,2183,0,0.8797264214407114,8.136375693206464
13,1882,93874,1244,775,43,2184,1,0.8796535665987092,8.133431893782499
14,1865,93570,1286,769,48,2464,1,0.8437457059725592,8.196812066771873
15,1908,93171,1337,780,47,2758,2,0.8436198539202956,8.385136268697803
16,1880,92797,1438,839,45,3001,3,0.8439133221949736,8.385919433382632
17,1923,92368,1533,895,47,3234,3,0.8439988294622744,8.382407177074672
18,1924,91950,1709,981,42,3392,5,0.8435905451489786,8.382068276514863
19,2010,91560,1727,1004,41,3655,6,0.8443768017736949,8.383504853068748
20,1994,91177,1828,1064,43,3891,6,0.8441009363008519,8.37901002194141
21,2040,90757,1872,1087,50,4191,6,0.8442667009155034,8.381523009602779
22,2058,90310,1933,1134,53,4509,6,0.8442713933253626,8.379344615663703
23,2071,89879,1948,1181,60,4858,6,0.8440878252279523,8.380032081704066
24,2143,89417,1949,1168,55,5263,8,0.8445690836394216,8.37989424944838
25,2234,88943,1953,1161,63,5641,8,0.8443516955335957,8.37874498814445
26,2258,88499,1952,1165,61,6059,9,0.8443579908696764,8.379686262535266
27,2267,88043,2029,1231,62,6362,9,0.8442817357598223,8.37947718150128
28,2276,87603,2039,1253,60,6760,12,0.8444263415329373,8.378931581863425
29,2250,87167,2100,1280,61,7131,14,0.8446015655595227,8.375368742952103
30,2268,86675,2147,1278,61,7560,14,0.8445372780244396,8.37577651433285
31,2300,86199,2162,1289,63,7976,14,0.8445584095346875,8.375263042233827
32,2323,85720,2191,1326,66,8363,14,0.8444608862290279,8.374924356025932
33,2413,85190,2236,1338,66,8745,15,0.8445986315180771,8.374776669757306
34,2496,84671,2228,1362,65,9166,15,0.8447114610906662,8.373782151429676
35,2538,84137,2278,1357,68,9607,18,0.8446466165001904,8.3747828419694
36,2569,83630,2321,1359,67,10037,20,0.844729804841506,8.373664037165755
37,2598,83122,2338,1359,63,10502,21,0.8445523012442089,8.373175953743512
38,2577,82613,2348,1405,64,10973,23,0.8446600558258761,8.373887201084598
39,2570,82101,2407,1421,65,11416,23,0.8449070408535432,8.3714026286945
40,2570,81567,2437,1469,67,11869,24,0.8449695064146616,8.369364494824534
41,2565,81065,2488,1485,68,12306,26,0.8447449341091517,8.370408944106806
42,2575,80547,2540,1505,71,12738,27,0.8451397992811511,8.368996142103235
43,2618,79995,2537,1525,68,13231,29,0.8450173383000574,8.367040091697014
44,2608,79493,2547,1551,74,13700,30,0.8449191536327444,8.367619356541672
45,2605,78962,2562,1591,77,14173,33,0.8088116502304081,8.431875953011788
46,2689,78376,2557,1568,83,14697,33,0.8089620602429113,8.62746350561876
47,2731,77816,2561,1563,78,15220,34,0.8091593797423717,8.627454714491734
48,2717,77278,2570,1572,81,15750,35,0.8089328101005839,8.626653379268186
49,2755,76738,2545,1592,84,16254,35,0.8086732965338291,8.628465979597566
50,2738,76224,2544,1616,84,16762,35,0.809067624578367,8.629708090157775
51,2703,75673,2588,1649,89,17266,35,0.8087224969963472,8.62816765973786
52,2677,75139,2630,1655,93,17774,35,0.772381853455716,8.697858106597895
53,2693,74585,2646,1643,95,18304,37,0.772680590435004,8.902740458980087
54,2707,74031,2693,1634,94,18804,40,0.7726839605937129,8.900353822574639
55,2750,73474,2691,1632,97,19319,40,0.7721612740228457,8.90403181162628
56,2776,72897,2692,1630,94,19869,45,0.7725325150147082,8.905825918428382
57,2804,72335,2709,1645,94,20368,48,0.772202542133879,8.90317504042822
58,2807,71778,2747,1630,90,20901,50,0.7725583120891266,8.90403086204423
59,2779,71252,2733,1612,89,21488,50,0.7724066267797929,8.903350207659761
60,2774,70700,2739,1603,90,22046,51,0.7722774918891443,8.904674034118763
61,2733,70164,2755,1626,93,22581,51,0.772491074114433,8.905771940239449
62,2703,69632,2721,1682,91,23121,53,0.7723641212967811,8.90522387793493
63,2656,69122,2748,1698,91,23634,54,0.7722508574782945,8.90637673210733
64,2640,68612,2749,1672,90,24185,55,0.7726541616785594,8.904778592692109
65,2600,68100,2761,1678,94,24712,58,0.7727299000188442,8.901638303904637
66,2586,67578,2740,1681,95,25265,58,0.7725700485932843,8.903643213566117
67,2570,67062,2740,1659,99,25813,60,0.7726419766101487,8.904104126701585
68,2537,66585,2702,1650,100,26366,63,0.772674098784847,8.903395609709577
69,2533,66079,2674,1611,97,26945,64,0.7724004231211548,8.9030096491536
70,2517,65583,2662,1573,104,27498,66,0.7724666622624532,8.906044219136904
71,2454,65124,2627,1573,111,28047,67,0.772092787542246,8.90654604620355
72,2454,64608,2625,1565,104,28577,70,0.7727778708877893,8.906781987182443
73,2437,64148,2575,1540,102,29129,72,0.7726013657024702,8.904112149212757
74,2391,63688,2559,1526,109,29655,75,0.7722002215169583,8.904574798241848
75,2361,63222,2536,1513,106,30188,77,0.7720944970916368,8.90880894500924
76,2395,62729,2500,1498,103,30699,79,0.7721939455850896,8.909444107693961
77,2298,62310,2496,1508,97,31209,85,0.7719822991441586,8.908894791895708
78,2234,61914,2441,1511,97,31719,87,0.7720163274735914,8.911919928317518
