,e,s,i1,i2,c,r,d,compliance,contacts
0,683,97775,777,768,0,0,0,0.03896640981877632,17.951072039482607
1,1471,96987,688,655,6,196,0,0.04182996058119047,17.46209232709567
2,2166,96292,570,536,13,426,0,0.046416218567257035,17.40500003408696
3,2688,95770,464,439,14,628,0,0.046341944125952196,17.36650411993549
4,2402,95373,742,607,22,857,0,0.045892309933201765,17.37243758303041
5,2723,95052,630,509,24,1065,0,0.04712943892299492,17.385837835369504
6,2427,94560,1024,671,33,1288,0,0.04635800396912044,17.36001445518558
7,2164,94128,1338,828,40,1505,0,0.04825598224698282,17.372918585102266
8,2499,93271,1639,1049,40,1505,0,0.049676113848321164,17.333466499935604
9,3178,92195,1888,1197,40,1505,0,0.05234038373281684,17.299593477539027
10,3956,91096,2087,1319,40,1505,0,0.05419532977489875,17.24879767034515
11,4662,89898,2395,1503,40,1505,0,0.05608280139824866,17.215299104858726
12,5413,88715,2256,1391,50,2178,0,0.05827513806082227,17.18331953517046
13,5805,87466,2795,1709,44,2182,2,0.057719299770660266,17.139084871681334
14,5891,86304,2954,1838,48,2964,4,0.06114979572600762,17.146797356508852
15,6152,84944,3208,1988,55,3652,4,0.06243032598770956,17.08594393673547
16,6298,83600,3635,2237,57,4172,4,0.06472344684183996,17.060899175696292
17,6613,82102,4122,2536,57,4569,4,0.06751889019025757,17.024144022585226
18,7052,80414,4664,2922,52,4893,6,0.07082319509017768,16.978796038321285
19,7695,78609,5056,3200,52,5384,7,0.07501761938650273,16.918423834267358
20,8255,76689,5600,3584,56,5812,7,0.07847806546560371,16.836719957927635
21,8951,74649,5923,3748,65,6660,7,0.08327275093046024,16.778177080757384
22,9596,72506,6193,3900,75,7726,7,0.08556952642553295,16.70033321397928
23,10114,70300,6575,4107,95,8805,7,0.08801014150260798,16.659565397306714
24,10451,68158,6928,4361,106,9988,11,0.09075098832267453,16.627592170584354
25,10772,65917,7343,4683,124,11153,11,0.09373384595932689,16.583218747925194
26,10981,63668,7843,4974,134,12390,13,0.09727797149863723,16.540800359024995
27,11136,61370,8460,5338,142,13540,17,0.10074946551511986,16.48826659675652
28,11140,59160,9002,5642,166,14872,21,0.10504877818348309,16.443879254834197
29,11465,56693,9427,6015,187,16194,22,0.10882521856292776,16.38325225090081
30,11629,54288,9849,6336,212,17665,24,0.11336007325167873,16.32877383353178
31,11819,51849,10160,6586,230,19335,24,0.11743089007917434,16.26886501558988
32,11796,49574,10490,6749,261,21109,24,0.12081604439168307,16.21611810353424
33,11903,47257,10679,6850,283,23001,30,0.12348954060610913,16.184405455399855
34,11655,45038,10935,7021,302,25021,31,0.12513242355134033,16.159195389769167
35,11435,42853,11109,7109,313,27147,37,0.1273504331448632,16.147486127093757
36,11039,40810,11274,7177,327,29332,44,0.12861226157046854,16.13595044465706
37,10770,38804,11392,7192,335,31461,49,0.12964940315379458,16.14099599361138
38,10349,36908,11449,7211,345,33682,59,0.12997513442917957,16.148757862583544
39,9835,35203,11448,7182,360,35911,64,0.13013568301021342,16.160392150797914
40,9265,33588,11396,7121,348,38213,72,0.13004919299850584,16.17708276558639
41,8786,32024,11296,7054,352,40413,78,0.12938008568061488,16.18943566141909
42,8230,30574,11061,6828,355,42865,90,0.1286840396856052,16.21382418689301
43,7761,29147,10722,6658,358,45262,95,0.12629727821559317,16.245077771372383
44,7389,27814,10237,6409,353,47697,104,0.12446047502858196,16.292465331335187
45,6994,26594,9837,6149,353,49958,118,0.12154040686985247,16.33086916440918
46,6517,25507,9368,5865,357,52264,125,0.11866893036894036,16.383053116793068
47,6036,24538,8912,5552,356,54478,131,0.1154277793989716,16.433291458378616
48,5513,23634,8444,5262,356,56653,141,0.11172038636144146,16.49594832935781
49,5049,22765,8018,4978,360,58688,145,0.10822438649251184,16.553601282381546
50,4558,22036,7525,4685,359,60682,158,0.10500383684314568,16.612570795939245
51,4194,21313,7047,4354,356,62576,163,0.10149071053318978,16.66491345604716
52,3849,20689,6610,4055,355,64273,172,0.09752083252473263,16.71525244864101
53,3488,20146,6150,3804,342,65894,179,0.09395943209910528,16.773629163204976
54,3141,19624,5737,3522,334,67452,193,0.09066825153399562,16.82511399854534
