,e,s,i1,i2,c,r,d,compliance,contacts
0,763,97775,755,710,0,0,0,0.0062531366193415705,17.01630685840812
1,1377,97161,653,610,5,197,0,0.006207019352687121,16.877547082197744
2,1946,96592,546,523,10,386,0,0.013424050142003568,16.850275311249096
3,2412,96126,451,426,12,576,0,0.015662974196911462,16.758747264986553
4,2007,95768,791,593,18,826,0,0.01977894787948434,16.71107437819315
5,2339,95436,681,500,18,1029,0,0.02523129029051995,16.662451149457073
6,2295,94866,946,621,21,1254,0,0.027624211344392222,16.57800841987249
7,2190,94402,1187,759,26,1439,0,0.034383644055920606,16.542327157415517
8,2456,93670,1469,943,26,1439,0,0.038949901052065576,16.448521284058263
9,2934,92834,1696,1074,26,1439,0,0.04665850297981735,16.364307529707144
10,3609,91827,1892,1210,26,1439,0,0.05415127040636854,16.247916618924425
11,4116,90750,2249,1423,26,1439,0,0.06332455756763761,16.126730020003397
12,4787,89615,2063,1310,40,2188,0,0.07388648093835125,15.987382157321345
13,5339,88331,2507,1598,35,2191,2,0.08292995525130224,15.825757642811537
14,5681,87153,2631,1696,40,2799,3,0.09677122558898686,15.69565194435966
15,6049,85778,2932,1833,45,3363,3,0.10764707769288341,15.49643556671228
16,6290,84460,3319,2057,48,3826,3,0.12283372348783093,15.332178966409671
17,6538,83077,3785,2368,50,4182,3,0.13768252831476263,15.131023588138516
18,6706,81625,4398,2707,50,4514,3,0.15493514081323753,14.916772969020197
19,7086,80067,4772,2941,53,5080,4,0.17377850288198213,14.679091167584161
20,7403,78375,5327,3297,58,5539,4,0.19346427117065476,14.422423742300568
21,7881,76579,5675,3535,65,6264,4,0.21575847510329912,14.159958009174417
22,8375,74702,6028,3729,81,7084,4,0.23812610008117402,13.871909531142952
23,8784,72841,6289,3913,96,8076,4,0.2621565517801115,13.588662756490988
24,9113,70954,6608,4075,101,9144,8,0.286367608180955,13.296034492525626
25,9431,68944,6966,4274,120,10260,8,0.31093768499072166,13.004812237724101
26,9503,67076,7278,4474,129,11531,12,0.3362831394918459,12.719928117828855
27,9509,65193,7690,4761,141,12692,17,0.3614874167425349,12.43831036859112
28,9500,63341,8052,4885,155,14048,22,0.38753635261197045,12.158606076062036
29,9517,61437,8425,5081,163,15358,22,0.41277589327745967,11.880661176700569
30,9370,59574,8821,5312,181,16722,23,0.43842469902124326,11.615495846636266
31,9303,57773,9046,5503,197,18154,27,0.463564910120257,11.355178434091144
32,9297,55896,9227,5647,212,19695,29,0.4883504778460759,11.102829607359071
33,9199,54142,9306,5728,237,21360,31,0.5126014990849274,10.860680693054885
34,8946,52491,9344,5798,246,23140,38,0.5359529335399287,10.632311685236314
35,8579,50995,9373,5755,257,25001,43,0.5584549850595765,10.4159105570749
36,8300,49473,9298,5770,268,26844,50,0.5795791695081011,10.213627709545767
37,7772,48124,9291,5767,278,28711,60,0.5997499482254361,10.029460087590662
38,7450,46692,9113,5689,286,30709,64,0.6187369931000467,9.855795998791754
39,7105,45386,8979,5606,287,32568,72,0.6364187470246286,9.697596196070752
40,6800,44195,8742,5456,281,34448,81,0.653023677071759,9.553857183690894
41,6381,43092,8561,5307,299,36279,84,0.6681201591442154,9.421182065887212
