,e,s,i1,i2,c,r,d,compliance,contacts
0,299,98577,303,326,0,498,0,0.8786473415433879,8.7196407618627
1,475,97902,264,278,1,1083,0,0.8786654083511197,8.715753636272186
2,639,97239,222,232,4,1667,0,0.8790137782704321,8.714741494993346
3,763,96616,180,195,6,2243,0,0.8790323300668075,8.7128010800381
4,565,96015,330,262,9,2822,0,0.8792907051577843,8.712093779219774
5,627,95455,290,208,12,3411,0,0.8795149946005191,8.710918277544875
6,601,94808,341,219,15,4019,0,0.8795211541448433,8.708942594837856
7,553,94192,400,239,16,4603,0,0.8797433499026115,8.70855853808812
8,662,93461,479,284,16,5101,0,0.8798280622780202,8.707442648588621
9,822,92701,545,319,16,5600,0,0.8799725451352336,8.706698202970331
10,1002,91964,586,340,16,6095,0,0.8801585426769888,8.705384751764543
11,1071,91246,677,399,16,6594,0,0.880354404421203,8.704079855375035
12,1132,90570,550,343,22,7386,0,0.8806149122664245,8.702482037697523
13,1116,89856,692,434,21,7884,0,0.8807382232714589,8.700537144026567
14,1018,89195,740,471,22,8557,0,0.8755868496827247,8.70896432146481
15,983,88497,776,513,25,9209,0,0.8737995326740962,8.737100401541566
16,949,87843,830,554,25,9802,0,0.8709494287069833,8.753904673016327
17,976,87186,873,587,23,10358,0,0.8687419768988132,8.771050978720261
18,951,86515,966,649,21,10900,1,0.8668315579766167,8.78572445413033
19,1041,85797,972,656,21,11514,2,0.8651331202211964,8.798659484683716
20,1031,85158,1043,676,23,12070,2,0.8636522223678889,8.809231294941348
21,1051,84477,1019,652,25,12777,2,0.8624191966469996,8.819018373574353
22,1089,83756,993,621,30,13512,2,0.8612611082295435,8.827221199757524
23,1157,83011,978,586,33,14236,2,0.8602711409885389,8.834436560077148
24,1159,82267,997,601,29,14947,3,0.8593525340171709,8.841068949185829
25,1195,81554,1020,598,30,15603,3,0.8585845693067133,8.847342610864647
26,1246,80822,1011,595,30,16296,3,0.857815187709904,8.852389519372108
27,1273,80092,1074,611,26,16921,6,0.857195091077531,8.857605966400127
28,1276,79401,1103,635,27,17555,6,0.8565587531368435,8.861854926864662
29,1266,78722,1153,655,27,18173,7,0.8560709844144895,8.865955910712167
30,1291,78044,1177,660,34,18790,7,0.8556242514236089,8.86892845660911
31,1312,77364,1203,698,39,19380,7,0.8552082463573264,8.871640162217524
32,1310,76604,1216,701,45,20120,7,0.8549514755035069,8.874020804578924
33,1316,75847,1242,741,43,20805,9,0.8547028325796158,8.875593898966857
34,1335,75146,1246,777,39,21451,9,0.854500110740396,8.87647221212852
35,1359,74371,1244,795,38,22186,10,0.8543828466227177,8.877403886594399
36,1336,73630,1260,796,42,22928,11,0.8543136998471832,8.877998000076673
37,1328,72882,1264,804,47,23667,11,0.8542082614817258,8.876649235766774
38,1386,72084,1250,854,47,24370,12,0.8541745020896867,8.877411398844215
39,1407,71325,1254,858,55,25092,12,0.8541842384254382,8.877510726513734
40,1385,70585,1268,857,54,25840,14,0.8541869987000271,8.877543424985088
41,1427,69814,1276,840,55,26577,14,0.8541627973938636,8.877160597347824
42,1440,69072,1299,831,51,27293,17,0.8541836496967626,8.877193597155962
43,1388,68316,1330,869,45,28036,19,0.8541911478443426,8.87727235835062
44,1413,67530,1332,875,41,28793,19,0.854168799809879,8.877034532896474
45,1460,66754,1317,883,46,29524,19,0.8486620995133406,8.88647116478321
46,1431,66028,1360,867,54,30244,19,0.8466079277096525,8.917682023511423
47,1421,65299,1367,868,55,30974,19,0.8435313426170585,8.93649750846742
48,1440,64537,1365,863,56,31722,20,0.8409600743524099,8.955995037669101
49,1429,63786,1375,909,59,32424,21,0.8387787830029061,8.973699101788512
50,1391,63069,1409,923,57,33133,21,0.8367233886634535,8.989033509524953
51,1401,62385,1382,890,53,33869,23,0.8349752133514942,9.002672905465534
52,1426,61753,1370,879,54,34496,25,0.8278047205118515,9.024714246990658
53,1391,61089,1394,889,58,35157,25,0.8242436142440512,9.069003903430854
54,1347,60439,1406,880,62,35844,25,0.8198615452651848,9.099142879750183
55,1347,59770,1414,869,67,36511,25,0.8160124098888535,9.128357929102203
56,1320,59158,1411,874,72,37143,25,0.8127925249389633,9.15539838019396
57,1313,58507,1410,852,79,37815,27,0.8098065899921616,9.178900112654564
58,1315,57855,1370,844,73,38518,28,0.8071492460800757,9.200091921735746
59,1303,57229,1361,841,76,39165,28,0.8047514993211731,9.219026986150588
60,1292,56532,1360,849,69,39872,29,0.8026629891553131,9.23643613128503
61,1291,55898,1322,843,68,40549,32,0.800713315341585,9.251207290205533
62,1262,55230,1298,848,68,41265,32,0.7990265271705717,9.26501466398512
63,1259,54556,1285,853,70,41947,33,0.7975033548390388,9.277411685427715
64,1241,53900,1257,847,68,42655,35,0.7960950907960572,9.28875031445193
65,1205,53288,1247,828,67,43333,35,0.7948677439967657,9.298885224074
66,1162,52738,1251,814,61,43940,37,0.7937191663017648,9.307864914781364
67,1101,52159,1259,802,62,44583,37,0.792685156470224,9.316446704958407
68,1056,51602,1257,793,60,45197,38,0.7917146521257918,9.32404026811092
69,1011,51087,1257,768,50,45789,41,0.7908679183076572,9.331505395977166
70,993,50568,1210,757,51,46382,42,0.7900353533092309,9.338067043135558
71,973,50110,1195,717,51,46913,44,0.7892597539618157,9.344055100254671
72,967,49712,1169,690,53,47368,44,0.7885502146865554,9.34982811310004
73,914,49175,1127,687,51,48001,48,0.7878322786566283,9.355465957122144
74,884,48561,1087,658,53,48712,48,0.7871847038819649,9.361241335693395
75,813,47998,1064,634,49,49397,48,0.7865448377355012,9.366338901113316
76,779,47386,1014,612,52,50112,48,0.7859288293806456,9.371173589387615
77,747,46776,988,597,48,50799,48,0.7854086970957564,9.376250825312534
78,711,46222,959,564,50,51449,48,0.7848646445762056,9.380502451286873
79,703,45641,908,559,48,52094,50,0.7842895006838576,9.385028555407732
80,691,45093,869,541,44,52714,51,0.7837696383720508,9.389847502257316
81,654,44568,844,505,50,53331,51,0.7832586038080346,9.393486578527256
82,624,44022,823,498,50,53935,51,0.7828116990823397,9.39756243494591
83,605,43501,765,476,46,54557,53,0.7823448593652407,9.401254270776468
84,578,42967,745,452,48,55160,53,0.7818801536902795,9.404946841956317
85,555,42465,697,437,45,55748,56,0.7814993740650913,9.408379208830857
86,536,41981,673,416,47,56294,56,0.78664613538482,9.40127965785612
87,498,41488,657,404,47,56853,56,0.7884375354219377,9.370461182372058
88,470,41049,638,395,46,57349,56,0.7911213471554556,9.352408398250898
89,432,40611,615,381,47,57860,57,0.7935215508861759,9.334416009939083
90,406,40180,585,357,45,58373,57,0.7953505317659585,9.316958625537698
91,375,39775,560,354,43,58837,59,0.7971435949053167,9.303017297575305
92,339,39425,521,335,40,59284,59,0.798745862397987,9.290552395497347
93,326,39031,502,310,34,59738,62,0.8000922723477861,9.279139809753454
94,313,38646,476,298,31,60175,64,0.8012960245129698,9.269432403153104
95,299,38197,453,271,29,60690,64,0.8023526566683269,9.261086310598602
96,290,37802,433,251,28,61134,65,0.8031679193650315,9.253274472597713
97,298,37367,390,227,28,61628,65,0.803998818507608,9.24747765156649
98,271,36976,365,218,24,62082,67,0.8046114119969998,9.242051473227612
99,239,36628,350,201,22,62495,68,0.8051447455930978,9.2375856183965
100,225,36276,333,192,18,62891,68,0.8056681163856604,9.234202698327403
101,203,35944,319,185,16,63268,68,0.8060596022664691,9.230756687286355
102,183,35608,315,168,17,63644,68,0.8063601469640421,9.228274320859276
103,178,35320,288,160,20,63969,68,0.8066515034135062,9.22604927769617
104,176,35113,265,150,22,64209,68,0.8069061133066493,9.223949085408899
105,161,34632,257,154,20,64711,68,0.8070915695274138,9.222569540843459
106,152,34204,239,142,20,65178,68,0.8072651535823151,9.221237930148439
107,151,33739,215,138,22,65670,68,0.8073737938706332,9.219779819294644
108,138,33279,196,131,21,66170,68,0.8075527598838991,9.218682220048228
