,e,s,i1,i2,c,r,d,compliance,contacts
0,323,98576,309,296,0,499,0,0.8788235860536001,8.685875817286558
1,499,97903,264,252,1,1084,0,0.8787951492372326,8.682277549751475
2,647,97257,225,203,3,1668,0,0.879205411050934,8.681607311855137
3,793,96614,167,160,5,2264,0,0.8792647732547472,8.679286514032926
4,585,96001,345,226,7,2839,0,0.8793934967289515,8.678547894532285
5,679,95407,303,184,12,3418,0,0.8795777295857526,8.67794906199218
6,673,94737,388,200,12,3993,0,0.8795795875456841,8.67685104724522
7,634,94128,441,206,13,4581,0,0.8797615876408792,8.676737562647922
8,710,93406,529,264,13,5081,0,0.8798052695058933,8.675728803179501
9,878,92624,603,305,13,5580,0,0.879940454630499,8.675284204101422
10,1054,91855,657,345,13,6079,0,0.880109109660862,8.673985146332324
11,1134,91109,766,406,13,6575,0,0.8803249058226382,8.672855861487136
12,1217,90418,610,348,19,7391,0,0.880550515078057,8.670814411171566
13,1197,89718,739,441,18,7890,0,0.8807127017365391,8.668786211982694
14,1082,89061,798,489,17,8555,1,0.8756518877191933,8.676685032755058
15,1021,88362,854,555,17,9192,2,0.8738302814297982,8.70429526664784
16,984,87654,923,590,17,9833,2,0.8711206728839508,8.720793947807849
17,1001,86949,968,622,15,10446,2,0.8689391023320868,8.737159406969893
18,1001,86258,1024,674,19,11025,2,0.8671257722922007,8.751751741484187
19,1057,85559,1019,677,21,11668,2,0.8654220763835486,8.764002586320839
20,1052,84935,1082,714,23,12195,2,0.8639823108191822,8.774917858563473
21,1075,84315,1082,705,29,12795,2,0.8627514627807942,8.784497423907066
22,1078,83618,1028,685,35,13557,2,0.8616539212208247,8.791983902509923
23,1117,82922,1008,637,42,14275,2,0.8606767856267207,8.799472248685188
24,1126,82232,992,627,43,14980,3,0.8597738707876226,8.805284839839395
25,1191,81516,991,640,46,15616,3,0.8590160246210761,8.811136132010708
26,1197,80823,1022,643,49,16266,3,0.8583397028702426,8.815945082206376
27,1231,80112,1054,655,51,16896,4,0.8577218455936113,8.820338151849242
28,1232,79403,1062,679,50,17572,5,0.8572263623208186,8.824507694499514
29,1273,78644,1084,677,50,18270,5,0.8566871668833352,8.827775408615665
30,1297,77889,1135,686,48,18942,6,0.8562977172277232,8.831032713417532
31,1323,77134,1150,711,48,19631,6,0.8558500466130234,8.833795925816752
32,1359,76366,1164,719,49,20340,6,0.8555625095263483,8.836870281969691
33,1400,75609,1203,718,50,21017,6,0.8552835126337867,8.838637487412536
34,1420,74842,1236,723,48,21727,7,0.8550249808901891,8.840126231181099
35,1406,74123,1273,767,48,22378,8,0.8547903537154304,8.842028788125493
36,1419,73416,1299,768,45,23047,9,0.8546315415016958,8.841419421615019
37,1419,72740,1336,780,44,23674,10,0.854484441156055,8.842309858935536
38,1406,72040,1335,795,45,24371,11,0.8543665578273119,8.8433762552942
39,1391,71380,1364,818,44,24993,13,0.8542799998874164,8.844191479817162
40,1355,70783,1370,845,47,25590,13,0.8541714877258659,8.844980883744034
41,1355,70215,1382,872,49,26117,13,0.8541417477164054,8.845265644207728
42,1360,69470,1374,888,57,26841,13,0.8542066991357447,8.84528519393901
43,1393,68692,1381,858,58,27606,15,0.8542045293254376,8.844854688206082
44,1415,67923,1385,865,62,28338,15,0.8541527403276136,8.844616255434964
45,1426,67182,1331,880,60,29107,17,0.8486690851905879,8.85424893971223
46,1400,66439,1330,879,63,29875,17,0.8465858973280982,8.885354281679621
47,1404,65657,1324,878,62,30658,20,0.8435594795943272,8.904256264097718
48,1390,64938,1329,897,64,31365,20,0.8409552181665918,8.921842510687162
49,1332,64225,1341,905,64,32114,22,0.8388562311206652,8.939729371521281
50,1354,63486,1338,880,64,32858,23,0.8368443356384955,8.954666908447134
51,1360,62764,1311,892,67,33586,23,0.8349983885987666,8.968352441339174
52,1350,62036,1334,881,66,34312,24,0.8278655507386921,8.990983174965006
53,1309,61322,1372,889,65,35022,24,0.8242840742593714,9.034390501578283
54,1310,60613,1352,871,59,35772,26,0.8199295469408132,9.064393318091973
55,1273,59922,1348,864,60,36510,26,0.816103421883981,9.093769856208752
56,1249,59230,1332,838,58,37269,27,0.8128608542906263,9.120859958919512
57,1210,58547,1318,832,59,38008,29,0.8098070179949165,9.144185862578032
58,1208,57856,1302,842,52,38714,29,0.8071105986879735,9.165828809522027
59,1198,57176,1300,833,48,39418,30,0.8047050994349715,9.184696298221521
60,1198,56560,1256,825,48,40085,31,0.802500234795261,9.201970094370278
61,1164,55925,1215,814,49,40805,31,0.8005644594052451,9.217980130592894
62,1156,55310,1231,797,50,41427,32,0.7987749732452873,9.231382730105004
63,1114,54718,1210,788,47,42092,34,0.7972328523388601,9.244580924356201
64,1093,54145,1199,772,45,42715,34,0.7957438096735945,9.255620359070416
65,1040,53602,1182,747,48,43350,34,0.7944675370790811,9.26640304999531
66,1014,53048,1169,715,54,43969,34,0.7932386959163735,9.2760303961548
67,997,52441,1161,713,53,44604,34,0.7921412277223598,9.285045981432155
68,976,51804,1129,710,55,45293,36,0.791170985108347,9.29295785307343
69,963,51233,1122,693,52,45904,36,0.7902636397414917,9.300171219059289
70,963,50626,1052,707,58,46561,36,0.7894194184249366,9.307097315521055
71,948,50041,1011,679,60,47227,37,0.7886874925927324,9.31363825145697
72,906,49481,1001,672,63,47843,37,0.7880028277584243,9.319154665025508
73,865,48985,962,655,65,48433,38,0.7874132120192132,9.324759620522997
74,843,48447,952,662,66,48993,40,0.7868261670994826,9.328815232894474
75,806,47958,923,643,68,49565,40,0.7863745164898298,9.33344642490623
76,786,47501,904,620,72,50079,41,0.7858311890448791,9.337084617993359
77,747,47076,884,602,71,50581,42,0.785407159505214,9.341153462717381
78,741,46672,871,571,63,51041,44,0.784903473335628,9.344345989437777
79,696,46303,875,568,63,51454,44,0.7844372230573972,9.348293468707341
80,672,45772,832,543,64,52075,45,0.7840473911571771,9.351752490501724
81,645,45272,810,524,63,52643,46,0.7835914987951874,9.354883619683461
82,621,44709,768,502,61,53294,48,0.7832238518700277,9.358253913483056
83,596,44154,744,476,57,53926,50,0.7828310000239694,9.36175239552821
84,568,43635,725,466,52,54506,51,0.7823977193199536,9.364848280490177
85,551,43154,697,444,52,55053,52,0.7820189897677312,9.368189052967063
86,517,42654,682,432,47,55618,53,0.7871889501204138,9.361204893592593
87,496,42206,646,402,46,56152,55,0.7889602016477552,9.330448090936622
88,465,41791,629,381,44,56637,56,0.7916214765077717,9.31236635433257
89,446,41343,609,364,40,57145,56,0.7939630430365882,9.294555087154189
90,411,41003,594,351,41,57546,57,0.7957831487034015,9.278143433925116
91,392,40557,553,337,40,58066,58,0.7975987065612368,9.264342312872362
92,365,40051,530,318,36,58643,60,0.7990998482131959,9.252122246858075
93,353,39562,501,302,37,59188,60,0.8003973638511638,9.241403766443243
94,321,39064,474,300,33,59751,60,0.8015327984518027,9.232031211840981
95,302,38600,446,289,33,60273,60,0.8025632165258991,9.224187727899427
96,292,38115,417,269,34,60815,61,0.8034502775646148,9.217181323237151
97,287,37650,391,254,32,61328,61,0.8041757848326696,9.211017184703206
98,268,37193,361,244,32,61844,61,0.8048945805423486,9.20579873256065
99,251,36749,352,226,29,62334,62,0.8054244821471795,9.201077030753218
100,225,36318,327,214,26,62830,63,0.8059781156890832,9.197215414568518
101,219,35906,315,198,24,63278,63,0.8063666502070668,9.19336956867486
102,198,35472,294,192,24,63760,63,0.8067436358831772,9.190582417695124
103,185,35061,281,181,23,64209,63,0.8070156615296591,9.188318982028477
104,183,34631,264,173,22,64666,64,0.8072647175731607,9.186420601331486
105,189,34250,236,165,19,65079,65,0.8074579928153113,9.184749934567263
106,174,33848,223,156,20,65517,65,0.8076267056119756,9.183271922597623
107,160,33487,206,157,22,65906,65,0.8077967618524802,9.182139762161615
108,144,33115,200,145,17,66317,65,0.8079199858853814,9.181004981556745
109,130,32718,188,140,14,66748,65,0.8080319845843987,9.180073163547146
110,124,32326,183,120,14,67171,65,0.8081083363381064,9.179366220453433
111,110,32003,175,110,14,67525,66,0.8081505940412076,9.178966872586455
112,108,31658,168,104,14,67885,66,0.808157861146894,9.17875876332369
113,102,31415,165,99,15,68141,66,0.8081819436409087,9.17887093667755
114,96,31180,153,86,14,68408,66,0.8081289733530931,9.178798245806075
115,82,30811,146,83,14,68801,66,0.808143641120376,9.179061062409307
116,72,30380,133,77,11,69264,66,0.8081321355147361,9.179117180424049
117,59,29937,124,73,12,69732,66,0.8080696907490464,9.179206207557044
118,56,29504,113,64,11,70189,66,0.808030641743915,9.179595824802414
119,49,29089,99,62,9,70628,67,0.8079518338421794,9.179986685366556
120,48,28676,91,60,9,71052,67,0.8079154220599738,9.180663514433146
121,51,28262,84,54,9,71476,67,0.8078983613040416,9.180763633794664
122,46,27888,80,46,7,71869,67,0.8078282224166353,9.181324170332674
123,41,27513,74,35,7,72266,67,0.8077329380405839,9.181839820407822
124,41,27104,69,31,7,72684,67,0.8077308954427059,9.182413595378565
125,32,26737,62,29,7,73069,67,0.8076533548194266,9.18269686716568
126,23,26385,53,34,5,73436,67,0.8076272354971791,9.183092036254104
127,23,26064,47,29,4,73769,67,0.8075939775369639,9.183265935333402
128,26,25703,43,25,5,74134,67,0.807513093620441,9.183599883449629
129,20,25353,41,28,4,74490,67,0.8074985615652346,9.184195141287617
130,18,25023,34,30,4,74827,67,0.8074373925197081,9.184398147714273
131,18,24813,25,29,4,75047,67,0.8074323606689484,9.184936233205535
132,16,24431,23,27,4,75435,67,0.8073539229402266,9.185074046982825
133,13,24023,21,25,5,75849,67,0.8073219925068187,9.185526940741301
134,12,23641,21,17,5,76240,67,0.80725760625979,9.185901002263801
135,12,23295,20,16,4,76589,67,0.8072043773993384,9.186294776409154
136,14,22974,16,15,4,76913,67,0.8071716401075445,9.186506020689722
137,14,22574,14,11,3,77320,67,0.8071269246648709,9.18676131181671
138,8,22158,17,10,3,77740,67,0.8070249493349231,9.187302838039354
139,9,21729,16,11,2,78169,67,0.8070007761697886,9.187945593613646
140,9,21292,13,12,1,78609,67,0.8069746057094521,9.188211241927393
141,6,20879,9,10,1,79031,67,0.8069381802837478,9.188324713452653
142,5,20471,8,11,1,79440,67,0.8069177314159413,9.188558819657034
143,6,20043,7,10,1,79869,67,0.806897816590278,9.188833244025968
144,5,19643,8,10,1,80269,67,0.8068692367167346,9.188898463012821
145,4,19242,9,9,0,80671,68,0.8068714966126449,9.188853696901917
146,4,18828,5,7,0,81091,68,0.8068501899135551,9.188984376058379
147,4,18439,6,6,0,81480,68,0.8068172485879427,9.1893689376704
148,4,18022,6,5,0,81898,68,0.8067466740256857,9.18945299444796
149,5,17657,6,3,0,82264,68,0.8067789867018325,9.189877171930732
150,4,17255,6,2,0,82668,68,0.8067312922691717,9.189691015344408
151,4,16868,6,2,0,83055,68,0.8067513658870583,9.190194381340701
152,4,16476,6,1,0,83448,68,0.8067105736934076,9.190111215857359
153,4,16081,5,1,0,83844,68,0.8066950412173178,9.190232499563738
154,2,15703,7,1,0,84222,68,0.8066723785584714,9.190466435193574
155,2,15348,6,1,0,84578,68,0.806655497053392,9.19061139421067
156,2,15029,6,0,0,84898,68,0.8066469117488169,9.190750255311189
157,2,14705,6,0,0,85222,68,0.806651458190429,9.19093482277921
158,1,14309,6,0,0,85619,68,0.806626357169773,9.190929477349146
159,3,13964,6,0,0,85962,68,0.8066634027803562,9.190982172705246
160,3,13596,5,0,0,86331,68,0.8066485225469281,9.190623416753912
161,3,13234,4,0,0,86694,68,0.80665338031486,9.190650935737029
162,2,12921,3,0,0,87009,68,0.806641108008476,9.190832241976493
163,2,12642,3,0,0,87288,68,0.8066061120255869,9.190898984927482
164,0,12301,5,0,0,87629,68,0.8066389185884869,9.191010660604318
165,0,12004,4,0,0,87927,68,0.806582711360883,9.190791469178503
166,0,11739,3,0,0,88193,68,0.8066264099488963,9.191103261719073
167,0,11538,3,0,0,88394,68,0.8066100229643786,9.190859749611882
168,0,11321,3,0,0,88611,68,0.8066148195059688,9.190986754201791
169,0,10917,3,0,0,89015,68,0.8065950296732749,9.1911200011925
170,0,10493,2,0,0,89440,68,0.8066076746867324,9.19111537481031
171,1,10086,2,0,0,89846,68,0.8065947490342606,9.191085252419086
172,1,9668,0,0,0,90266,68,0.8065917662538199,9.191155306524253
173,1,9245,0,0,0,90689,68,0.8066042254165274,9.191278305816445
174,1,8836,0,0,0,91098,68,0.8065669987433853,9.191229547162537
175,1,8420,0,0,0,91514,68,0.8066044937426756,9.191266082584836
176,0,8030,1,0,0,91904,68,0.8066235820484028,9.191123938429653
177,0,7638,1,0,0,92296,68,0.8065743680858328,9.191322425836514
178,0,7208,1,0,0,92726,68,0.8065874249265569,9.191395056231608
179,0,6785,1,0,0,93149,68,0.8065303202651714,9.191161553607456
180,0,6392,1,0,0,93542,68,0.8065675295101076,9.19127622659613
181,0,6002,1,0,0,93932,68,0.8066146657858313,9.191141947055595
182,0,5616,1,0,0,94318,68,0.8065549514661686,9.191020823542502
183,0,5202,1,0,0,94732,68,0.8065771807521016,9.191284479750975
184,0,4818,0,0,0,95117,68,0.8065523157663391,9.191322751532933
185,0,4446,0,0,0,95489,68,0.8065641660020336,9.191395605763555
186,0,4092,0,0,0,95843,68,0.8065813964066041,9.19151568682083
187,0,3710,0,0,0,96225,68,0.8065467522433661,9.191283769324698
188,0,3358,0,0,0,96577,68,0.8065825871866473,9.1913243858723
189,0,3048,0,0,0,96887,68,0.8065740273397793,9.191342312311841
190,0,2739,0,0,0,97196,68,0.8065397459909734,9.191193438624849
