,e,s,i1,i2,c,r,d,compliance,contacts
0,323,98576,307,298,0,499,0,0.8788820261522097,9.242262013177756
1,475,97930,267,262,1,1068,0,0.8789114477888921,9.238729623649693
2,617,97288,234,215,4,1645,0,0.8791825438343827,9.238133590655934
3,753,96654,192,179,6,2219,0,0.8792300885649286,9.236309104136232
4,544,96048,358,242,7,2804,0,0.8793861496726458,9.235654712369168
5,626,95477,301,206,9,3384,0,0.8795539857617662,9.235020975642163
6,614,94853,353,212,12,3959,0,0.8795961084066133,9.233645349348642
7,582,94243,394,223,16,4545,0,0.87973298257838,9.233231506917479
8,735,93454,480,273,16,5045,0,0.8797966281759699,9.232356734086038
9,921,92655,542,325,16,5544,0,0.8799572887399839,9.231939319396727
10,1087,91912,591,358,16,6039,0,0.8801340244757562,9.230601126916397
11,1157,91220,684,405,16,6521,0,0.8803663963818894,9.22912013579056
12,1218,90602,549,327,18,7289,0,0.8805694742703434,9.227506587113307
13,1144,89905,731,434,17,7772,0,0.8806994056985872,9.22582396687846
14,1005,89259,827,486,15,8410,1,0.8755611335535043,9.234516607431264
15,946,88600,891,528,14,9023,1,0.8737162904988763,9.262816312541915
16,936,87905,934,559,16,9652,1,0.8709371007881856,9.27992011553503
17,961,87221,988,562,15,10255,1,0.8686640891586984,9.297174748701485
18,940,86532,1076,607,13,10834,1,0.8667252997598034,9.312564766626211
19,958,85854,1073,631,10,11475,2,0.8649419000589877,9.326001165778727
20,994,85134,1117,666,11,12079,2,0.8633112733891724,9.33764959245918
21,1029,84407,1070,624,16,12855,2,0.8620179414605812,9.348437397918522
22,1066,83682,982,608,23,13640,2,0.8607331565626579,9.357106813503188
23,1073,83036,958,578,27,14329,2,0.8597525503264839,9.365386508897096
24,1106,82394,951,554,28,14968,2,0.8587468068564608,9.371725998893131
25,1095,81718,960,599,28,15601,2,0.8579464795210436,9.377971497550304
26,1072,81095,980,599,28,16227,2,0.8572620009444909,9.383543173537301
27,1055,80428,1032,619,32,16835,2,0.856567930604248,9.387799963540504
28,1070,79746,1035,628,32,17490,2,0.8560294074068355,9.392161372944567
29,1089,79032,1027,648,32,18173,2,0.8555507725455824,9.395510079649219
30,1110,78340,1064,629,34,18824,2,0.8551307130677057,9.398385749641216
31,1149,77680,1078,633,37,19424,2,0.8547405140124698,9.400782526202496
32,1147,77013,1092,656,37,20056,2,0.8543984969207008,9.403321534839506
33,1208,76248,1111,628,36,20770,2,0.8541052986704238,9.405190063384346
34,1236,75514,1105,630,32,21483,3,0.8538183491680809,9.406720998123696
35,1278,74747,1116,621,29,22209,3,0.8536071819068014,9.408931344566314
36,1253,74031,1144,643,27,22902,3,0.8533055841587281,9.410134366886009
37,1280,73296,1148,641,31,23604,3,0.8531307554368621,9.411845543942563
38,1287,72531,1166,686,31,24299,3,0.8528962245770685,9.41315720270316
39,1291,71795,1186,713,29,24985,4,0.8528767986000304,9.41426556919738
40,1308,71021,1231,729,27,25683,4,0.8527669312587909,9.41451683412323
41,1350,70277,1228,742,26,26376,4,0.852647148854338,9.41521123265163
42,1437,69474,1231,749,24,27084,4,0.8526068101052278,9.415762960596423
43,1449,68732,1244,785,21,27768,4,0.8525289946969015,9.415884862333108
44,1469,67997,1257,784,24,28468,4,0.8526358703361373,9.416078355378293
45,1475,67318,1308,813,20,29065,4,0.8470097323294916,9.425135802651694
46,1496,66604,1319,793,19,29768,4,0.8449220969087484,9.457065007990016
47,1442,65963,1357,824,21,30392,4,0.8418568934331532,9.47596711974609
48,1401,65292,1351,849,23,31083,4,0.8393140343246089,9.49582237916108
49,1392,64607,1389,868,20,31723,4,0.8371282570431399,9.513691871693489
50,1373,63863,1420,896,20,32427,4,0.835131860069372,9.528687026722013
51,1352,63173,1438,883,21,33132,4,0.8334711371531763,9.54240293050372
52,1347,62466,1441,891,24,33829,5,0.8262726369973892,9.563887976626539
53,1377,61792,1410,883,26,34510,5,0.8227739130244541,9.607822284810045
54,1387,61120,1394,905,25,35167,5,0.8184495949881418,9.637188633663895
55,1377,60538,1381,871,25,35805,6,0.8148200531659495,9.66596921929361
56,1381,59917,1367,857,21,36454,6,0.8116026763636648,9.691591052563348
57,1355,59219,1350,860,23,37190,6,0.8086964721393156,9.714616726100576
58,1332,58528,1333,862,24,37918,6,0.8060796112439909,9.735177007715151
59,1288,57854,1332,858,22,38643,6,0.8037492930162432,9.753253527503402
60,1231,57170,1335,852,20,39389,6,0.8017396349835206,9.769834521339273
