,e,s,i1,i2,c,r,d,compliance,contacts
0,737,97775,786,705,0,0,0,0.8795737501106641,8.640595300176493
1,1068,97444,676,615,2,198,0,0.879629388055476,8.633495871716882
2,1388,97124,556,513,5,417,0,0.8802693979291356,8.632036490394565
3,1647,96865,448,419,8,616,0,0.8805092333545751,8.627872590442854
4,1120,96655,754,612,14,848,0,0.8811353176508852,8.62553771080442
5,1278,96497,653,511,19,1045,0,0.881779999197453,8.621935472562521
6,1193,96251,730,554,23,1252,0,0.8822005635292345,8.616046759396275
7,1120,96004,803,585,28,1463,0,0.8829245617570212,8.612688783352104
8,1233,95632,969,678,28,1463,0,0.8835470454578997,8.607429645556415
9,1416,95239,1095,762,28,1463,0,0.8842031126867873,8.602309236315994
10,1642,94855,1190,825,28,1463,0,0.8848887663657187,8.59750775173996
11,1770,94481,1354,907,28,1463,0,0.8855354073937615,8.592803226144223
12,1859,94145,1093,678,40,2188,0,0.8862147372579889,8.58817844075815
13,1905,93727,1320,823,38,2190,0,0.8867528237223729,8.582714872736652
14,1845,93394,1366,839,43,2516,0,0.8821378033857963,8.588390164130486
15,1829,93026,1427,842,46,2833,0,0.8809381447658734,8.61236513461089
16,1823,92658,1483,901,42,3094,2,0.8785024651924166,8.624837742823562
17,1816,92329,1565,945,42,3302,4,0.8766915509305506,8.638976003964606
18,1763,91964,1748,1022,40,3462,4,0.8751780740465434,8.651465248376086
19,1782,91612,1788,1069,41,3706,5,0.8737982370663478,8.661791738262762
20,1806,91220,1860,1118,45,3949,5,0.8727915408478332,8.670053145240242
21,1862,90796,1864,1110,53,4313,5,0.8719763647570276,8.676298346909498
22,1967,90362,1827,1083,57,4702,5,0.8714713860457702,8.680706859980699
23,2024,89940,1804,1087,64,5079,5,0.8710952967470259,8.682910014989895
24,2111,89501,1806,1063,59,5456,7,0.8710370477386437,8.683962564490429
25,2136,89084,1839,1086,63,5788,7,0.8709080707546091,8.683733459165166
26,2101,88695,1817,1114,57,6209,10,0.8709963245376877,8.683683933756926
27,2081,88281,1869,1163,56,6543,10,0.8709826598668731,8.680358708918329
28,2077,87863,1878,1208,55,6911,11,0.8710816434831239,8.680287168060747
29,2049,87452,1913,1244,52,7279,14,0.8711439075426439,8.677199793323922
30,2070,87014,1946,1299,54,7605,15,0.8714026962518192,8.676700568259351
31,2151,86544,1959,1310,56,7967,16,0.8716833256946038,8.675213474800682
32,2177,86104,2002,1329,56,8317,18,0.8719746742267875,8.670989780013372
33,2210,85653,2016,1341,56,8709,18,0.8723053040569924,8.6671354491087
34,2310,85142,2014,1330,59,9129,19,0.8727154304452113,8.664377903872044
35,2363,84651,2022,1326,57,9561,23,0.8730970341599237,8.661486466983847
36,2337,84207,2077,1319,52,9987,24,0.873425170175068,8.656338402347135
37,2363,83741,2073,1324,57,10419,26,0.8736896455538877,8.653876914404336
38,2383,83270,2118,1313,61,10832,26,0.8740317530500045,8.65264296547733
39,2327,82815,2175,1378,60,11221,27,0.8742668301558932,8.650251098134238
40,2315,82336,2209,1421,65,11630,27,0.8746477657372985,8.648814194342387
41,2373,81834,2218,1438,71,12041,28,0.8751517839942503,8.645957392084936
42,2392,81349,2252,1459,71,12452,28,0.8755271890234535,8.641474310005124
43,2435,80835,2271,1473,71,12889,29,0.876045121050822,8.638023124502242
44,2469,80346,2243,1486,76,13353,30,0.8764645650702336,8.633483068966212
45,2511,79825,2291,1477,73,13795,31,0.8715932716686198,8.639072204749613
46,2486,79348,2309,1510,73,14245,32,0.8700640020868942,8.664572659999534
47,2453,78896,2316,1477,74,14755,32,0.8675459184958945,8.678954494499683
48,2422,78413,2336,1480,80,15240,32,0.8656001109945369,8.693630238125438
49,2409,77937,2390,1471,77,15686,33,0.8639817541242717,8.706423214991748
50,2368,77457,2425,1491,80,16149,33,0.862408852059903,8.716690187472327
51,2400,76948,2446,1476,83,16615,35,0.8613525209268189,8.725403410123754
52,2432,76464,2448,1471,86,17067,35,0.855022422346215,8.740596593594134
53,2454,75959,2430,1493,82,17550,35,0.8522726883980085,8.775660709368823
54,2457,75480,2401,1496,84,18050,35,0.8485926864061718,8.799368680156089
55,2495,74962,2405,1487,81,18536,37,0.8456433296934623,8.822494938204523
56,2479,74469,2393,1494,74,19057,37,0.8428798225760821,8.843228861539266
57,2465,73999,2368,1514,75,19544,38,0.8404122904706617,8.86247316156787
58,2399,73560,2329,1537,75,20064,39,0.8382192559305998,8.880555038477262
59,2374,73106,2329,1539,78,20538,39,0.8364241832189022,8.894875178318234
60,2303,72659,2374,1560,80,20988,39,0.8349131645690677,8.905916362718491
61,2255,72214,2400,1544,79,21472,39,0.8336126652125635,8.915603169653107
62,2262,71737,2433,1505,81,21945,40,0.8324255479097525,8.924379178904267
63,2267,71293,2417,1480,79,22425,42,0.831396165468541,8.933007757578181
64,2293,70813,2388,1454,75,22934,46,0.8303604581519524,8.940729875026797
65,2295,70364,2354,1451,79,23414,46,0.8295519080344076,8.94737284128745
66,2318,69896,2344,1401,84,23914,46,0.8288396299013936,8.952637551525584
67,2256,69481,2330,1413,89,24387,47,0.8282833877571234,8.957125636439269
68,2256,69037,2275,1394,94,24900,47,0.8279454375340168,8.960199670205617
69,2217,68596,2259,1397,99,25387,48,0.8277317054643557,8.96214821409657
70,2198,68166,2235,1400,96,25858,50,0.8277506869609561,8.962722400312218
71,2132,67764,2245,1419,91,26298,54,0.8275527857704651,8.962664701549018
