,e,s,i1,i2,c,r,d,compliance,contacts
0,786,97775,707,735,0,0,0,0.012513742224225863,18.484978481057173
1,1435,97126,608,632,4,198,0,0.01479034130865343,18.27438709987499
2,2057,96504,500,537,9,396,0,0.024961347352637095,18.20614765383994
3,2554,96007,388,428,15,611,0,0.03007994124564796,18.07635198320538
4,2180,95595,776,630,19,803,0,0.03674410939680397,17.984376793961026
5,2498,95277,672,519,23,1014,0,0.04468171137535132,17.89579672077493
6,2404,94722,967,678,24,1208,0,0.04908203258380238,17.780689399695646
7,2210,94294,1230,827,26,1416,0,0.057232880919258,17.71579494592689
8,2483,93524,1538,1016,26,1416,0,0.06325523261413661,17.5987623857533
9,2901,92694,1789,1177,26,1416,0,0.07147157638122217,17.496099066136644
10,3579,91698,1985,1299,26,1416,0,0.07918232806261694,17.37535451920601
11,4146,90576,2330,1509,26,1416,0,0.0873164002274442,17.25702014680237
12,4860,89434,2101,1380,34,2194,0,0.09631080407407369,17.136018537433962
13,5349,88175,2562,1689,30,2198,0,0.10409487817778104,16.995400806912322
14,5597,87097,2671,1761,35,2841,1,0.11465687344572748,16.875354946911763
15,5848,85850,2927,1879,45,3451,3,0.1239571802115974,16.714480387668956
16,6024,84552,3315,2116,51,3942,3,0.13702416337919973,16.56885572024665
17,6207,83227,3766,2395,50,4354,4,0.15002787904267728,16.38605356409932
18,6432,81743,4343,2759,54,4668,4,0.1640275824783856,16.20179087667027
19,6900,80197,4675,2950,63,5214,4,0.1788986104587345,16.007639588368548
20,7336,78514,5168,3276,70,5635,4,0.19345180683358873,15.802942196357904
21,7828,76724,5489,3483,85,6390,4,0.21034611230375697,15.603182438113016
22,8291,74936,5818,3649,99,7206,4,0.22715719031653184,15.37471937152767
23,8668,73075,6107,3848,105,8196,4,0.24534771545450718,15.150749987733157
24,9066,71131,6340,4039,109,9310,8,0.2623029196728334,14.927058895356877
25,9231,69283,6678,4242,126,10435,8,0.27962858446349514,14.719235198837506
26,9234,67490,7031,4420,136,11683,9,0.29710913559735125,14.513293220225835
27,9331,65605,7456,4705,133,12761,12,0.3136052743337165,14.31296437350391
28,9292,63783,7858,4917,141,13997,15,0.33031282678448914,14.123186905407081
29,9264,61867,8221,5200,167,15267,17,0.3471849813111521,13.930054212708427
30,9352,59931,8538,5406,184,16575,17,0.36554601721805347,13.733408691034267
31,9465,58025,8730,5523,191,18051,18,0.3821923106131337,13.531515227267738
32,9453,56152,8979,5613,202,19585,19,0.3975746010310045,13.35126893454915
33,9445,54338,9080,5651,209,21255,25,0.4117295503932113,13.19634721505114
34,9398,52469,9168,5689,224,23026,29,0.4239977493029171,13.052832888688595
35,9191,50740,9267,5738,235,24802,30,0.43565962175632117,12.930990289546866
36,8936,49089,9323,5727,252,26642,34,0.4464815548198705,12.822071037042786
37,8716,47436,9355,5624,263,28570,39,0.45611251585435864,12.720476692507319
38,8466,45872,9352,5593,275,30400,45,0.4645695945393868,12.631210960334052
39,8003,44466,9402,5619,289,32176,48,0.4726158179620018,12.553721923754042
40,7717,43023,9292,5573,304,34038,56,0.4798888188872803,12.483410622457162
41,7422,41667,9146,5548,296,35860,64,0.48549064117785906,12.42048034754168
42,6982,40454,8950,5481,300,37768,68,0.49016563349850967,12.37902106825927
43,6648,39224,8717,5342,304,39695,73,0.49342230139007565,12.346396555467406
44,6435,38031,8377,5182,311,41589,78,0.4960402767972343,12.32347132594964
45,6055,36968,8090,5039,322,43447,82,0.49801988314543383,12.305265177010712
46,5657,36010,7778,4893,324,45255,86,0.49946050464625913,12.29050465145702
47,5347,35107,7377,4638,333,47107,94,0.500452822459528,12.283321340333822
48,4968,34256,7065,4451,332,48827,104,0.4999170659619315,12.279301084845809
49,4573,33458,6808,4250,320,50482,112,0.499193015667593,12.291082081229249
50,4218,32750,6464,4004,309,52134,124,0.49668146732717033,12.309442848537802
51,3932,32078,6100,3762,304,53696,131,0.49377904714109727,12.344177495723622
52,3687,31420,5788,3571,289,55108,140,0.4896785271779534,12.38369954007558
53,3418,30838,5427,3340,299,56532,149,0.4860365881859871,12.43078996292627
54,3169,30289,5078,3131,294,57887,155,0.48164949730127493,12.47252670508739
55,2972,29778,4762,2942,289,59096,164,0.47761032840062856,12.521013375653594
56,2764,29314,4404,2742,284,60321,174,0.4731143481886316,12.565052023563933
57,2558,28862,4056,2555,266,61521,185,0.46866095466087576,12.61337776941584
58,2373,28465,3756,2374,252,62588,195,0.46328750763731136,12.664555763631732
59,2207,28082,3479,2242,238,63549,206,0.4578959399525907,12.723950506402863
60,2021,27757,3260,2069,228,64455,213,0.4524247445666664,12.783391347940187
61,1831,27483,2998,1944,219,65308,220,0.4466069004417386,12.84634134339148
62,1667,27195,2781,1815,211,66105,229,0.44103190062430664,12.907142640851154
63,1519,26946,2613,1672,198,66824,231,0.4351391091838683,12.967524731919525
64,1355,26727,2443,1553,185,67505,235,0.42940256118736225,13.030475279358276
65,1247,26510,2256,1407,162,68176,245,0.42312821848039434,13.090620959802651
66,1181,26302,2068,1287,149,68763,253,0.4169757076591735,13.159455424699193
67,1082,26113,1904,1190,141,69313,260,0.4110704632366115,13.225175419125316
68,982,25964,1724,1108,126,69831,268,0.4050070351453087,13.287445363077767
69,943,25784,1599,988,122,70293,274,0.39962093843967955,13.351079185917335
70,878,25632,1475,877,108,70751,282,0.3940366962495208,13.408522284830278
71,788,25514,1346,817,101,71152,285,0.3887078225794138,13.467679577717043
72,716,25397,1245,724,93,71536,292,0.3839401514560095,13.52322341648824
73,682,25282,1142,651,90,71863,293,0.37916112790267265,13.573787541499243
74,605,25179,1057,642,80,72145,295,0.3745169275814606,13.62498422823073
75,556,25076,995,568,77,72436,295,0.37018344899295524,13.67460772373802
76,530,24984,908,524,73,72689,295,0.36562730322117126,13.722030580716313
77,495,24902,844,486,69,72911,296,0.3616248560548489,13.772029912488843
78,446,24836,771,457,64,73133,296,0.3575190751112325,13.816999055547976
79,410,24769,700,423,58,73345,298,0.3536019373961697,13.863191172832103
80,377,24699,638,399,55,73537,298,0.34969360280340755,13.90713641167887
81,352,24632,590,390,45,73696,298,0.3458024702290828,13.95046550105508
82,322,24580,542,340,45,73876,298,0.34241877076461663,13.993652196370054
83,301,24535,485,311,41,74032,298,0.33883180882593494,14.031850732107293
84,272,24497,460,285,34,74157,298,0.335323752941845,14.073320197556688
85,250,24449,422,276,32,74276,298,0.33208983364432804,14.112661934039439
86,232,24400,396,254,30,74393,298,0.32926404507515344,14.14764984429717
87,211,24369,371,228,26,74499,299,0.3266101116483681,14.178389123662386
88,193,24342,334,207,27,74601,299,0.3243162862308307,14.207166117631823
89,179,24318,309,178,25,74695,299,0.32206035536230115,14.23219885496931
90,158,24291,289,164,22,74780,299,0.3198143113498942,14.257763931054786
91,130,24270,278,158,20,74847,300,0.3178603318773863,14.282158692741225
92,121,24248,259,141,20,74913,301,0.3161440149890204,14.30327055864828
93,119,24223,240,117,20,74983,301,0.3145373191468307,14.32213843551876
94,117,24201,210,104,19,75050,302,0.3131055942638853,14.339666830213813
95,112,24179,192,97,19,75102,302,0.3118503770761889,14.354485852704158
96,108,24162,177,88,16,75149,303,0.3105624360220223,14.36888977643499
97,96,24152,164,85,14,75188,304,0.3093458698588247,14.383819977887022
98,75,24148,149,77,13,75237,304,0.3082206785542974,14.3981870124585
99,63,24138,133,66,12,75287,304,0.3070670739537975,14.410981978487312
100,55,24124,130,60,10,75320,304,0.3059745698770144,14.424246624109285
101,46,24116,118,62,9,75346,306,0.3050619525632055,14.436283930396451
102,44,24108,110,56,9,75370,306,0.30425232350372977,14.446085972070955
103,55,24093,97,46,8,75398,306,0.3034735376709597,14.455118698879623
104,49,24089,89,43,6,75420,307,0.3027090171874805,14.463960568751546
105,42,24082,80,44,7,75440,308,0.3022125296632243,14.471823719198385
106,41,24075,66,41,5,75467,308,0.30165432853177354,14.477502037125062
107,44,24064,54,39,5,75489,308,0.3011225710450607,14.484491851359156
108,36,24057,47,39,5,75511,308,0.30067335333357625,14.490233875730812
109,36,24053,42,31,5,75528,308,0.3002704862739982,14.495504670996242
110,36,24046,41,29,5,75538,308,0.2998548199868865,14.500341478922513
111,33,24042,43,30,4,75543,308,0.2993976811788864,14.505287069669043
112,26,24038,44,30,4,75553,308,0.2990566233321819,14.510164993079567
113,22,24035,44,23,3,75568,308,0.29867842576592835,14.51397691075387
114,25,24028,42,21,3,75576,308,0.2983268173648984,14.518623254628752
115,20,24026,40,22,3,75584,308,0.29799609641213815,14.522635217614383
116,16,24026,31,20,3,75599,308,0.297699004562186,14.526259046918039
117,14,24024,29,22,1,75605,308,0.29732519290003245,14.53004068070324
118,13,24022,28,19,1,75612,308,0.2970039746327491,14.534415902835613
119,9,24019,27,20,1,75619,308,0.2967041697032039,14.537944282046308
120,12,24014,23,15,1,75630,308,0.2964461825127257,14.5413958044589
121,14,24012,18,13,1,75637,308,0.2961619524333677,14.544146692115422
122,14,24010,17,12,1,75641,308,0.2959633255546693,14.547163768273409
123,15,24007,15,9,1,75648,308,0.29572809754686136,14.549541433294214
124,15,24004,15,8,1,75652,308,0.2955683335541872,14.551734829894922
125,11,24003,18,6,1,75656,308,0.2954213276565432,14.553519034744433
126,10,24002,17,6,1,75659,308,0.2952522530495854,14.555330874309588
127,8,24002,14,4,1,75666,308,0.2951576713109924,14.556879620771891
128,6,24001,15,4,1,75668,308,0.2950060354869948,14.558124385934033
129,4,24000,17,5,1,75668,308,0.29491343648566065,14.559727657780462
130,3,24000,17,4,1,75670,308,0.2948149208875996,14.560779982784368
131,3,23999,17,3,0,75673,308,0.29467784293380594,14.561846302617349
132,3,23999,15,2,0,75676,308,0.29456968070768536,14.563536209507552
133,2,23999,11,2,0,75681,308,0.2944614062826474,14.564927001845069
134,1,23999,10,2,0,75683,308,0.2943770326437938,14.565941877117274
135,3,23997,9,1,0,75685,308,0.2943105840978785,14.566778939309742
136,2,23997,7,1,0,75688,308,0.2942246274091481,14.567590963662296
137,2,23997,5,0,0,75691,308,0.2941821159232937,14.56849605819531
138,2,23997,4,0,0,75692,308,0.29409552077708523,14.569003657379122
139,2,23997,3,0,0,75693,308,0.29406839950612046,14.569809787315148
140,0,23997,5,0,0,75693,308,0.29400993174288326,14.570239168909502
141,0,23997,4,0,0,75694,308,0.2939711081613094,14.570561887669761
142,0,23997,3,0,0,75695,308,0.29393595828434993,14.57110392397046
143,0,23997,3,0,0,75695,308,0.29394679325183204,14.571375088361654
144,1,23996,2,0,0,75696,308,0.29391733923029806,14.571549986475755
145,2,23995,2,0,0,75696,308,0.293899413032946,14.571815713262923
146,3,23994,2,0,0,75696,308,0.29387814993958733,14.572051769026785
147,3,23994,2,0,0,75696,308,0.2938863650302129,14.572096712158624
148,3,23994,0,0,0,75698,308,0.2938735908000601,14.572036759384833
149,2,23994,0,1,0,75698,308,0.2938554139689222,14.572084128391362
150,1,23994,0,2,0,75698,308,0.2938438328924917,14.572162532316845
151,0,23994,1,2,0,75698,308,0.2938299821625386,14.572412252220259
152,0,23994,1,2,0,75698,308,0.2938591393172231,14.572496864649109
153,0,23994,1,2,0,75698,308,0.2938622275015175,14.572315266091376
154,0,23994,1,2,0,75698,308,0.2938441158973535,14.572437470889891
155,1,23993,1,2,0,75698,308,0.293878465777396,14.572362155197855
156,1,23993,1,2,0,75698,308,0.2938813655649311,14.572292699902174
157,2,23992,1,1,0,75699,308,0.29387437829307295,14.572280691385009
158,2,23992,1,0,0,75700,308,0.29385514846477573,14.572257629930565
159,2,23992,0,0,0,75701,308,0.29383414997810486,14.572487276240436
160,1,23992,1,0,0,75701,308,0.2938403971861373,14.572716589828506
161,1,23992,1,0,0,75701,308,0.29381971442112564,14.572715901133364
162,0,23992,2,0,0,75701,308,0.29383815415951053,14.572867685073001
163,0,23992,2,0,0,75701,308,0.2938226773998819,14.572618550281776
164,0,23992,2,0,0,75701,308,0.2938142285445255,14.572676321924435
165,0,23992,2,0,0,75701,308,0.2938246137116138,14.572749509228052
166,0,23992,2,0,0,75701,308,0.29380375040567647,14.572683060799948
167,0,23992,2,0,0,75701,308,0.29382118991704553,14.572855728021104
168,1,23991,1,0,0,75702,308,0.29382713855385556,14.572829882897492
169,1,23991,1,0,0,75702,308,0.29378221300030954,14.572683170288093
170,1,23991,0,0,0,75703,308,0.2938027797943771,14.572934530928977
171,1,23991,0,0,0,75703,308,0.2937804578226633,14.573126075156894
172,1,23991,0,0,0,75703,308,0.29378290772694043,14.57328711823642
173,0,23991,0,1,0,75703,308,0.2938016141674505,14.573189347183467
174,0,23991,0,1,0,75703,308,0.29378716665356686,14.573158940105646
175,0,23991,0,1,0,75703,308,0.29377362771010285,14.573315277535084
176,0,23991,0,1,0,75703,308,0.2938155132570295,14.573215811385161
177,0,23991,0,1,0,75703,308,0.2938076366814577,14.572831253440388
178,0,23991,0,1,0,75703,308,0.29380110637348417,14.57285582025205
179,0,23991,0,1,0,75703,308,0.29382518233969607,14.573045780331382
