,e,s,i1,i2,c,r,d,compliance,contacts
0,273,99152,300,277,0,0,0,0.8787897482928476,7.405414326228808
1,379,99046,263,249,2,63,0,0.8787367700765388,7.402936478404626
2,480,98945,218,213,2,144,0,0.8735415857822205,7.412011951980557
3,572,98853,177,165,5,230,0,0.8716016975445405,7.441782410482154
4,371,98781,287,239,5,319,0,0.8684385277490263,7.4600891723362945
5,429,98723,241,201,5,403,0,0.8661283496248411,7.4797785174526945
6,399,98647,273,198,7,478,0,0.8638423095246691,7.496109026209306
7,362,98583,294,186,9,568,0,0.8618430841555111,7.511475466587046
8,345,98508,351,221,9,568,0,0.8600595581620841,7.524896555852071
9,361,98420,397,247,9,568,0,0.8584515286127197,7.536711120123044
10,406,98317,430,272,9,568,0,0.8570535647570079,7.547621149004665
11,443,98204,472,306,9,568,0,0.855858078962967,7.556753054627738
12,501,98082,357,212,14,836,0,0.8547932554131853,7.565016420788712
13,567,97941,411,233,12,838,0,0.8536629096652727,7.571987142079209
14,574,97846,379,247,13,943,0,0.8528992936241412,7.579370261702778
15,609,97708,391,237,12,1045,0,0.8520685326974514,7.584718666361478
16,622,97582,402,247,13,1136,0,0.8513518594628077,7.589965995763228
17,632,97450,425,274,13,1208,0,0.8507337359041738,7.595062707351276
18,643,97298,479,303,11,1268,0,0.850175077134709,7.599358135395599
19,684,97162,500,301,12,1343,0,0.8497284332077888,7.602776137469466
20,710,96998,541,334,12,1407,0,0.8493654828607373,7.605548758390459
21,754,96828,565,361,12,1482,0,0.8490522377608892,7.607927253277014
22,790,96660,597,373,16,1566,0,0.8487759498426198,7.609563823353997
23,829,96469,622,397,16,1669,0,0.848602306370753,7.6111382965226735
24,918,96244,634,408,13,1784,1,0.84845813771011,7.611944145895377
25,959,96039,662,422,14,1905,1,0.848382143364751,7.612360083052193
26,989,95839,683,430,14,2046,1,0.8483062474614437,7.6128058568819235
27,1027,95633,718,468,13,2142,1,0.8483435514231614,7.612907096631528
28,1058,95411,748,491,14,2279,1,0.848350960674332,7.61243081288488
29,1079,95165,809,529,15,2404,1,0.8484384542975071,7.611915721395111
30,1104,94935,858,553,16,2535,1,0.8485532785879212,7.611095474280871
31,1149,94690,876,583,17,2685,2,0.8486915629952211,7.609545153139601
32,1210,94423,919,610,17,2821,2,0.8489071191452234,7.60849775347611
33,1278,94133,961,626,17,2985,2,0.8435051059795674,7.616481327956319
34,1309,93856,1006,657,16,3155,3,0.8416782823835459,7.647328517115434
