,e,s,i1,i2,c,r,d,compliance,contacts
0,285,99152,275,290,0,0,0,0.00822832359597725,17.130557697300013
1,478,98959,229,253,0,83,0,0.01041450253212582,17.02997483507162
2,643,98794,193,224,3,145,0,0.016005080273276833,16.98266381509932
3,783,98654,151,176,4,234,0,0.019449946082083367,16.922521337844092
4,623,98529,301,225,5,319,0,0.022503564920474492,16.875129368963837
5,720,98432,261,178,6,405,0,0.026094000947218247,16.837021049152764
6,720,98239,345,209,9,480,0,0.0281088612887931,16.794517752119074
7,676,98118,411,232,12,553,0,0.03122846010492593,16.767964169473363
8,755,97899,496,287,12,553,0,0.03330912605049234,16.730960638416512
9,922,97607,570,338,12,553,0,0.0361382716884144,16.699912774461133
10,1143,97289,634,371,12,553,0,0.03869975450876375,16.664342727208567
11,1286,96953,750,448,12,553,0,0.041310996801887226,16.629698766209568
12,1549,96569,636,398,19,831,0,0.04431547020161745,16.595870299863144
13,1858,96041,784,469,19,831,0,0.046211790694802815,16.556461717078882
14,1969,95638,839,513,17,1026,0,0.049470206233588554,16.529213620672298
15,2143,95146,937,568,19,1189,0,0.05165034514176251,16.486347187958895
16,2366,94587,1038,663,19,1329,0,0.05487093913632855,16.451540071241546
17,2525,94044,1214,746,19,1454,0,0.05825807393771232,16.408081796149244
18,2624,93417,1445,946,17,1552,1,0.06183609437348268,16.35756252206469
19,2878,92760,1584,1017,15,1747,1,0.06704688902156032,16.305836513253432
20,3153,91993,1820,1152,16,1867,1,0.07118811612895407,16.232822689476986
21,3474,91113,2019,1293,18,2084,1,0.0772294985265353,16.172436037841244
22,3873,90171,2178,1385,21,2373,1,0.08276360121003129,16.090343465764214
23,4259,89158,2355,1517,25,2687,1,0.08901513708748122,16.012003658916207
24,4680,88080,2565,1628,26,3020,3,0.09572327601543976,15.92724612510266
25,5063,86930,2782,1794,29,3401,3,0.102361631133533,15.836522735712897
26,5401,85712,3060,1868,38,3920,3,0.10999910005086608,15.744477546727776
27,5788,84383,3367,2100,43,4318,3,0.1170040887742269,15.641882977246498
28,6157,83001,3703,2285,48,4805,3,0.1258023946459403,15.546448999122514
29,6589,81491,4010,2497,50,5362,3,0.13387058076388478,15.425881563876523
30,7041,79889,4391,2723,50,5905,3,0.14347594832924115,15.312156324080869
31,7589,78123,4770,2935,58,6524,3,0.15291359879683594,15.185409179171913
32,8078,76305,5178,3199,63,7176,3,0.16276472942150333,15.05959002736364
33,8584,74417,5582,3410,76,7930,3,0.17324076036812794,14.932845507630786
34,8948,72543,5926,3696,82,8804,3,0.18334678776375124,14.800259859334012
35,9252,70637,6343,3939,99,9727,5,0.19444609958917172,14.672757006209176
36,9545,68578,6804,4231,107,10729,8,0.20520455092684448,14.535858499461797
37,9769,66536,7267,4508,115,11798,9,0.2166576764164208,14.406253389987997
38,9988,64429,7695,4818,118,12938,16,0.22798271075417076,14.268529653223299
39,10271,62272,8086,5083,130,14141,19,0.23986413889014038,14.137334671405576
40,10484,60153,8452,5294,149,15449,21,0.2513327088659215,14.002830833533368
41,10621,57957,8858,5565,163,16817,21,0.26260100723050495,13.868489464494974
42,10752,55784,9160,5795,179,18311,21,0.27413158723054176,13.744772654843464
43,10712,53717,9488,5972,188,19901,24,0.28496799190927796,13.622293554939718
44,10630,51642,9738,6113,212,21640,27,0.2953079574994058,13.510584010404884
45,10478,49675,9891,6261,225,23440,32,0.3048901627734747,13.40767375372351
46,10222,47735,10083,6377,244,25305,36,0.3137191948579348,13.317119777401812
47,9909,45875,10281,6478,250,27170,39,0.3218340018394295,13.232667435105823
48,9610,44107,10399,6521,263,29061,41,0.3290956954749121,13.154083765934326
49,9318,42324,10418,6518,287,31093,44,0.33548491303298905,13.092790221898523
50,9091,40584,10368,6493,304,33116,46,0.34055047291321816,13.042370319713195
51,8729,39006,10253,6441,311,35212,50,0.34467591409767157,13.003087173899218
52,8339,37536,10033,6364,316,37358,56,0.3476275308954086,12.975402255334158
53,7967,36140,9844,6202,327,39459,63,0.3494149795738692,12.959801743366622
54,7481,34843,9591,6042,326,41652,67,0.34994319738188473,12.956240315558253
55,6943,33641,9310,5890,346,43800,72,0.34951712045559846,12.966574544394188
56,6478,32528,8965,5746,341,45860,84,0.3482110879471044,12.988156694951186
57,6099,31437,8564,5542,336,47926,98,0.34587106063221357,13.01593390260144
58,5674,30466,8245,5290,333,49888,106,0.34262644907979994,13.051805240220547
59,5202,29641,7882,5010,335,51820,112,0.33838100423450584,13.098453621796669
60,4872,28769,7471,4763,339,53673,115,0.33327289675749505,13.155830502460544
61,4507,28021,7081,4498,324,55442,129,0.32742043888356925,13.220707505490006
62,4141,27296,6693,4194,317,57221,140,0.32074862038747753,13.29227336324443
63,3816,26650,6218,3900,310,58959,149,0.31324608506131074,13.368784595400852
64,3585,26056,5776,3589,308,60527,161,0.30551030110176525,13.45375577757073
65,3252,25517,5403,3364,295,62000,171,0.29694976716994864,13.5459438971992
66,2989,25032,5005,3114,302,63383,177,0.2883466854383304,13.642601394921961
