,e,s,i1,i2,c,r,d,compliance,contacts
0,270,99152,309,271,0,0,0,0.8787460433411942,7.289491408264198
1,375,99047,271,230,1,78,0,0.878789495956945,7.286809978896487
2,471,98951,227,183,5,165,0,0.8645604972805329,7.311235829627933
3,569,98853,184,136,7,253,0,0.8608103374044023,7.391225450277892
4,382,98770,294,212,9,335,0,0.8551753102512155,7.426381929661393
5,427,98725,261,180,10,399,0,0.8518605746609687,7.459124110831025
6,399,98648,280,176,14,485,0,0.8493840355742388,7.482129329309498
7,391,98560,284,187,14,566,0,0.8476213737468183,7.497344619108166
8,394,98459,344,225,14,566,0,0.8463418345185181,7.508858474420699
9,421,98349,402,250,14,566,0,0.8453682383546672,7.516654987321617
10,523,98202,425,272,14,566,0,0.8449012970047323,7.522490002420367
11,585,98063,472,302,14,566,0,0.8445292104928467,7.525507209579443
12,633,97927,364,228,15,835,0,0.8442737858380711,7.52852075663612
13,694,97765,432,261,14,836,0,0.8439567928617921,7.529726739491371
14,714,97635,437,261,10,945,0,0.8438704686559645,7.531326655240768
15,694,97508,478,271,10,1040,1,0.8438899150488534,7.531632795029468
16,683,97380,498,292,9,1139,1,0.8435739739746027,7.531723001543419
17,684,97243,528,315,8,1223,1,0.8436488821150621,7.533220112025185
18,662,97103,607,353,5,1270,2,0.8436273046486472,7.5332420253797014
19,657,96978,641,372,7,1345,2,0.843853839215854,7.532345668209811
20,699,96809,663,389,7,1433,2,0.8439257700882228,7.531500731944736
21,765,96615,673,406,8,1533,2,0.8438319435130012,7.530786520603695
22,801,96442,685,421,12,1639,2,0.8441275559368884,7.531676057392164
23,825,96278,668,431,14,1784,2,0.8441216524302784,7.529271365319573
24,893,96085,669,416,14,1923,2,0.8442121439636436,7.52868536270115
25,902,95907,676,442,15,2058,2,0.8442019196645242,7.52803690680621
26,917,95698,689,461,17,2218,2,0.8443546548998137,7.527716501082198
27,940,95502,714,479,17,2347,3,0.8443168390916668,7.526538335970692
28,1015,95263,731,499,17,2474,3,0.8445867022470565,7.525875998746896
29,1050,95035,766,529,17,2602,3,0.8446426847160098,7.524132250819854
30,1078,94829,789,547,18,2738,3,0.8447393668393932,7.524173114921011
31,1120,94578,838,567,18,2877,4,0.8447144666226627,7.523293743590646
32,1152,94350,885,591,19,3001,4,0.844914884723353,7.523295472685397
33,1153,94110,940,606,22,3167,4,0.8301789984570503,7.548699518605961
34,1210,93825,964,616,21,3361,5,0.8266196555762472,7.632876626762688
35,1308,93521,986,627,19,3536,5,0.820675771512856,7.669011534556949
36,1384,93194,1059,641,20,3699,5,0.8176139150661575,7.702808074066938
37,1477,92873,1083,652,23,3889,5,0.815350198719103,7.72423210744313
38,1557,92553,1133,664,23,4066,6,0.8134696074599547,7.739626203197075
39,1607,92218,1205,668,23,4275,6,0.8122259552797655,7.75062645415306
40,1634,91887,1256,725,24,4470,6,0.7966196288005736,7.7857768768707185
41,1675,91519,1308,761,27,4706,6,0.7923436646312578,7.87923883055077
42,1731,91142,1378,784,26,4935,6,0.7863723904552438,7.92053416536929
43,1789,90764,1462,814,25,5142,6,0.7828120750351629,7.955856716979958
44,1844,90374,1500,860,27,5391,6,0.7803049894961789,7.98098284279579
45,1913,89974,1572,891,24,5622,6,0.7785824196030795,7.998189146013846
46,1997,89522,1630,961,25,5861,6,0.7774208723655381,8.009841316752873
47,2076,89066,1681,1002,29,6142,6,0.7767446798623584,8.01696099745294
48,2151,88613,1743,1014,32,6442,7,0.7763281170978054,8.020317720926613
49,2243,88131,1782,1038,34,6766,8,0.7759441091411927,8.022512933333196
50,2297,87677,1819,1080,34,7087,8,0.7759676651875377,8.023853841638928
51,2368,87154,1897,1134,34,7407,8,0.7757396816540006,8.02395958070453
52,2441,86625,1985,1167,38,7737,9,0.7758492434288397,8.024004771742138
53,2549,86064,2069,1205,40,8064,11,0.7760449451403248,8.022661798834436
54,2580,85551,2140,1248,40,8432,11,0.7762858818388083,8.02061918920152
55,2706,84971,2167,1298,41,8807,12,0.7764264741316135,8.018982583935776
56,2742,84412,2265,1345,45,9180,13,0.7766124913632304,8.017216192793615
57,2743,83882,2352,1397,46,9569,13,0.7769283283744925,8.015516993720798
58,2776,83288,2455,1455,46,9969,13,0.7769872130967124,8.0138737394496
59,2848,82703,2477,1494,53,10413,14,0.777296124640122,8.01245236663691
60,2914,82057,2522,1573,50,10871,15,0.7775873056599838,8.009515201813358
61,2979,81433,2563,1638,46,11327,16,0.777942929385112,8.006065641313485
62,3121,80761,2608,1641,50,11804,17,0.7783303010539506,8.00302529919756
63,3190,80098,2698,1691,55,12253,17,0.7785848063802636,7.9998906192420645
64,3280,79423,2710,1741,54,12776,18,0.7789274459182218,7.9966358252741285
65,3302,78755,2761,1807,56,13302,19,0.7791913664661719,7.993587218687073
66,3364,78069,2796,1835,65,13854,19,0.7796090515895652,7.992177974450696
67,3425,77336,2892,1898,69,14362,20,0.7799211094919842,7.988834138558319
68,3435,76663,2967,1906,69,14940,22,0.7802677598332777,7.986326052992741
69,3490,75933,3063,1926,78,15490,22,0.7804745014174446,7.984021920301131
70,3542,75213,3156,1971,82,16015,23,0.7806690789427556,7.982521319947224
71,3523,74546,3222,1997,77,16613,24,0.7809839414529727,7.981016201568483
72,3541,73795,3315,2052,85,17189,25,0.7809499769550003,7.979384291828465
73,3585,73078,3360,2034,93,17826,26,0.7812711084998469,7.979085453819427
74,3553,72380,3453,2047,93,18449,27,0.7958854010278629,7.94933795704232
75,3567,71646,3483,2065,97,19116,28,0.7999136479519803,7.862931621865662
76,3619,70927,3477,2075,99,19776,29,0.8054932676724043,7.824838076749664
77,3537,70258,3499,2129,102,20448,29,0.8088267306701847,7.791848033565395
78,3543,69535,3519,2158,102,21113,32,0.8112292833078502,7.768860245574494
79,3540,68840,3496,2193,103,21796,34,0.8131350670019621,7.752497094116088
80,3476,68170,3526,2164,102,22527,37,0.8143917359248065,7.740587636429256
81,3407,67520,3526,2210,100,23200,39,0.815256818991025,7.732221128416226
82,3420,66838,3466,2209,107,23922,40,0.8159043046962439,7.726974226346551
83,3374,66161,3457,2221,115,24632,42,0.8164472618848104,7.723006361705722
84,3311,65529,3498,2208,109,25303,44,0.8166949864791478,7.719523921022565
85,3253,64917,3447,2178,114,26049,44,0.8170118159616581,7.718043471860417
86,3270,64250,3417,2141,120,26758,46,0.8169958069618063,7.716462625245242
87,3184,63654,3436,2106,118,27455,49,0.8168511824935062,7.717057775963117
88,3102,63059,3366,2119,121,28185,50,0.8170639734651939,7.71745897509262
89,3048,62481,3352,2046,124,28899,52,0.8171044862910308,7.716370252589483
90,2952,61965,3297,2044,120,29568,56,0.8170021202689175,7.717156528782467
91,2807,61443,3270,2015,120,30288,59,0.8170037467768594,7.718079592540393
92,2786,60868,3196,1990,126,30973,63,0.8167401204719981,7.718583694125535
93,2725,60334,3156,1955,127,31641,64,0.8166991851494514,7.72124624792724
94,2698,59783,3102,1937,119,32293,70,0.8164908168721471,7.7222863962022785
95,2682,59283,2979,1894,114,32978,72,0.8163520032354841,7.724018836939511
96,2648,58795,2898,1820,119,33650,72,0.8161279916635752,7.724728453596998
97,2554,58314,2841,1820,115,34277,81,0.815944096442104,7.726248067796076
98,2463,57871,2807,1776,109,34892,84,0.8157761426473957,7.727933741525533
99,2342,57441,2753,1714,108,35558,86,0.8156183610211323,7.729224208605465
100,2272,57011,2702,1669,106,36153,89,0.8154511502097843,7.730866889274021
101,2215,56580,2632,1632,100,36748,95,0.8151770662090062,7.732557759116202
102,2137,56177,2577,1590,105,37319,97,0.8150897407301222,7.7346599470090815
103,2078,55793,2524,1570,105,37835,97,0.8148429185517956,7.73626536802039
104,2024,55417,2482,1520,102,38354,103,0.8146322929247704,7.738311544394804
105,1943,55068,2398,1459,101,38927,106,0.8144560549146334,7.740011651793898
106,1877,54703,2326,1428,101,39460,107,0.8141830299023582,7.742357352613905
107,1782,54395,2235,1371,95,40014,110,0.8140944433606192,7.7429507099741155
108,1709,54084,2153,1337,91,40515,113,0.8137177591541326,7.744451496970055
109,1649,53768,2083,1295,86,41007,114,0.8134724312576618,7.747441100040306
110,1603,53465,1978,1268,84,41487,117,0.8132466229619353,7.7494829655009685
111,1585,53118,1958,1210,83,41928,120,0.8130415305333203,7.75098522238857
112,1552,52843,1862,1184,78,42361,122,0.8128120721349007,7.752437940629216
113,1504,52580,1776,1151,80,42788,123,0.8126801555686867,7.754216133376398
114,1440,52328,1711,1101,82,43216,124,0.8124280540535758,7.755394798248635
115,1383,52082,1632,1080,81,43620,124,0.8122002428873356,7.757037684839321
116,1263,51855,1601,1074,76,44004,129,0.8120408142746385,7.759332846661894
117,1222,51621,1551,1023,76,44378,131,0.8119481979002429,7.760083840207032
118,1175,51405,1507,981,76,44727,131,0.8118850774997519,7.7611087905217655
119,1145,51183,1435,940,80,45088,131,0.8115796845524949,7.761909325341248
120,1109,50973,1404,909,79,45394,134,0.8113981558041606,7.763851868167274
121,1065,50790,1353,876,76,45707,135,0.8112005929754991,7.765134673761757
122,1037,50584,1302,845,75,46024,135,0.8110982816448117,7.766552672562922
123,1014,50391,1251,809,72,46330,135,0.810854249989731,7.768154247907173
124,960,50223,1186,749,76,46673,135,0.8107203414476998,7.769255810416764
125,903,50070,1134,736,70,46953,136,0.8105326531484454,7.770075096263824
126,899,49891,1098,692,61,47223,138,0.8104037917813537,7.7711192273639185
127,857,49727,1059,685,56,47480,138,0.8102100339775986,7.772449832694045
128,808,49583,1018,673,56,47726,138,0.8101480977221608,7.773497094326993
129,782,49441,985,647,51,47956,140,0.8099467297088794,7.774272007503106
130,755,49315,943,608,47,48193,141,0.8098296215206909,7.775314968075084
131,705,49186,926,588,46,48409,142,0.8096686630310087,7.776073476356947
132,664,49063,885,571,45,48632,142,0.8094294895955627,7.777922061289416
133,649,48934,851,539,45,48842,142,0.8092563551503206,7.779627762746766
134,617,48824,819,530,43,49026,143,0.8090419277706283,7.780868475645354
135,592,48723,772,497,41,49234,143,0.809197929259256,7.782324606140521
136,578,48608,739,466,34,49433,144,0.8090699469400832,7.781501510601394
137,557,48506,717,443,31,49604,144,0.8088252656375966,7.7824592025143655
138,509,48425,703,433,30,49757,145,0.8088655943347013,7.783906639100252
139,492,48332,664,403,31,49935,145,0.8086122148771505,7.784415654368429
140,479,48244,630,374,29,50100,146,0.80854553185294,7.785682763399174
141,448,48160,612,363,27,50246,146,0.8083544381060194,7.786787542116124
142,450,48056,586,349,25,50390,146,0.8082475772050559,7.787775700740087
143,448,47977,558,332,21,50520,146,0.8082818629798292,7.787431471094268
144,426,47906,528,326,19,50651,146,0.8081009090233292,7.787616979345737
145,417,47827,502,317,18,50775,146,0.8080676319457689,7.789356139924588
146,389,47771,463,311,18,50903,147,0.8078703607240725,7.790176662224871
147,334,47722,459,309,17,51014,147,0.8079003642839792,7.790939294970286
148,315,47662,436,310,17,51115,147,0.8076835673084737,7.791462815249964
149,296,47610,404,298,21,51226,147,0.8078175958567203,7.791923909194541
150,269,47558,398,281,18,51330,148,0.8077127585510595,7.791594582236276
151,259,47512,383,271,16,51413,148,0.8076946207947805,7.792049741917454
152,266,47456,363,247,15,51506,149,0.8076092036911777,7.792223256944438
153,258,47404,352,230,14,51594,150,0.8076173627677945,7.792461116729502
154,251,47359,338,212,15,51677,150,0.8074229409144902,7.792758897751838
155,257,47301,306,192,16,51779,151,0.807405877408137,7.793517262858732
156,261,47251,293,172,17,51856,152,0.8073509569533383,7.794456887834196
157,250,47206,295,155,18,51924,154,0.8071895978242228,7.795360679711787
158,231,47173,270,153,18,52003,154,0.8069774404800791,7.795969095397431
159,218,47141,262,150,17,52060,154,0.8070755249104418,7.797189889814173
160,197,47104,266,155,17,52109,154,0.8068785858362099,7.797139234660351
161,176,47075,263,148,15,52171,154,0.8070679585128713,7.798076817531055
162,162,47044,263,141,16,52222,154,0.8069397207076495,7.797627080131746
163,165,47008,249,136,17,52273,154,0.8068179292107902,7.798190503528654
164,160,46981,241,130,17,52319,154,0.8068405119874065,7.79854620300537
165,152,46952,227,125,17,52375,154,0.8069034104530078,7.79815751528203
166,138,46937,215,114,15,52429,154,0.806759323803712,7.798442434471503
167,139,46905,215,100,14,52475,154,0.8069341432313485,7.798864123366461
168,126,46882,205,88,13,52533,155,0.8067742745634878,7.798461480863199
169,125,46856,185,85,10,52586,155,0.8068438903260873,7.799063112248952
170,113,46839,172,82,10,52631,155,0.806677884597191,7.79891170161208
171,120,46817,160,76,11,52663,155,0.8066562005927552,7.7999725147026915
172,107,46798,152,84,11,52695,155,0.8066808053210414,7.799901370104728
173,94,46788,141,81,10,52733,155,0.8066551473598758,7.799738489371314
174,84,46772,143,76,9,52762,156,0.8065938408361439,7.799490665901714
175,80,46759,129,76,9,52793,156,0.8066103392840007,7.799974585099389
176,72,46745,119,72,9,52829,156,0.8066453140383428,7.80009379808235
177,69,46729,109,74,8,52857,156,0.8065546719632912,7.8002502534111215
178,73,46715,98,66,9,52885,156,0.8065192162768453,7.800814090212176
179,80,46692,98,67,7,52901,157,0.8064708635043909,7.801164964743388
