,e,s,i1,i2,c,r,d,compliance,contacts
0,273,99152,300,277,0,0,0,0.878782739376271,7.405477944157785
1,379,99046,263,249,2,63,0,0.8787396458391382,7.402984885808795
2,480,98945,218,213,2,144,0,0.8789496058281855,7.402623698993806
3,570,98855,177,165,5,230,0,0.8790307811000501,7.4010446592071135
4,368,98784,287,239,5,319,0,0.8791537817849449,7.400242326123418
5,421,98731,241,201,7,401,0,0.8793805040340301,7.399549525510161
6,392,98654,274,197,8,477,0,0.8794223642977826,7.398150100471479
7,353,98592,294,186,10,567,0,0.8796300539906307,7.397556882820306
8,346,98509,350,220,10,567,0,0.8797186031561641,7.396377799877331
9,357,98427,390,251,10,567,0,0.8799168603332566,7.395532408143671
10,403,98328,414,280,10,567,0,0.8800790890312719,7.394317679434183
11,437,98217,459,312,10,567,0,0.8803035896151553,7.393109886441343
12,489,98103,343,217,16,834,0,0.8805038865191128,7.3916180545880374
13,539,97970,393,250,14,836,0,0.8806090065941403,7.390002303446902
14,560,97867,365,254,14,942,0,0.8809079645687425,7.389001974420965
15,599,97729,366,251,13,1043,1,0.8810707872213535,7.387232417197233
16,604,97613,376,262,14,1132,1,0.8812991053212246,7.385904855331711
17,628,97475,410,271,14,1203,1,0.8815182176062569,7.384365650266154
18,629,97341,463,298,15,1255,1,0.8817343247056959,7.382574038818525
19,647,97220,482,305,16,1331,1,0.8820317991287133,7.380798855355752
20,654,97075,526,337,17,1392,1,0.8822962273490044,7.37868852104345
21,689,96924,558,338,19,1473,1,0.8826222308592205,7.3766633366850085
22,701,96774,592,360,20,1554,1,0.8829117641305628,7.374113565741818
23,732,96609,616,371,22,1651,1,0.8832967334353218,7.371880622236535
24,797,96423,617,380,17,1765,3,0.8836398785296783,7.36907811293397
25,830,96245,625,403,18,1878,3,0.8840336194160252,7.3663379472083985
26,859,96065,643,403,18,2011,3,0.8844477161743856,7.3634704167456215
27,900,95874,672,421,17,2115,3,0.8848492017762174,7.360288610048432
28,957,95652,687,433,18,2252,3,0.8853332410560418,7.357353865741456
29,1009,95414,718,472,17,2369,3,0.8857669923086702,7.3540681487194295
30,1063,95182,736,494,16,2507,4,0.8862776723946845,7.350822672752778
31,1113,94952,758,518,14,2642,5,0.8867869672373383,7.347124595209923
32,1164,94710,802,544,17,2759,6,0.8873478683362599,7.343475911977761
33,1199,94453,853,570,19,2902,6,0.8878442946055097,7.339450166113075
34,1226,94188,894,616,20,3052,6,0.8884472160289093,7.335347973192223
35,1255,93927,956,636,22,3200,6,0.8891172481551948,7.331105774119565
36,1279,93673,998,659,27,3359,7,0.8897596807535517,7.326357317635852
37,1316,93394,1042,671,28,3544,7,0.8904584152102275,7.321724781280365
38,1317,93136,1101,691,32,3718,7,0.891170011982603,7.3167531612384655
39,1353,92835,1171,706,34,3896,7,0.8919164202464309,7.311758590741706
40,1430,92497,1225,722,34,4087,7,0.892583112466639,7.306640167884119
41,1480,92193,1246,733,38,4305,7,0.8933624056424727,7.301372038608003
42,1539,91855,1299,721,42,4539,7,0.8941697498483737,7.296054136311635
43,1625,91511,1298,748,43,4770,7,0.8949547984035067,7.290494699393699
44,1645,91190,1344,773,41,5002,7,0.8957918060707928,7.285171250395384
45,1662,90835,1404,809,41,5242,9,0.896589372754564,7.279314017115571
46,1709,90484,1421,839,40,5500,9,0.8974826700360609,7.273531152229712
47,1730,90125,1448,885,37,5768,9,0.898353328804454,7.26754389929935
48,1793,89718,1485,931,37,6028,10,0.8992668449372577,7.261195116733775
49,1868,89322,1536,947,37,6281,11,0.9002186768323317,7.254780097037581
