,e,s,i1,i2,c,r,d,compliance,contacts
0,276,99152,285,289,0,0,0,0.005739642818535314,16.222045541847592
1,474,98954,241,253,1,79,0,0.007384992650837714,16.14341760494255
2,658,98770,199,223,2,150,0,0.012064280537495002,16.107299304636125
3,835,98593,159,184,4,227,0,0.014816698484551305,16.056670187173456
4,680,98472,282,260,6,302,0,0.0176035744627751,16.017424793515364
5,766,98386,241,208,7,394,0,0.021166857206757844,15.98347920227283
6,720,98234,303,245,9,491,0,0.022952234573637008,15.93912792798003
7,680,98090,377,281,10,564,0,0.026364422379962813,15.911827439124965
8,738,97855,487,348,10,564,0,0.028692894421843185,15.870596497463017
9,854,97618,570,386,10,564,0,0.03201973049706478,15.834775724323793
10,1102,97284,623,419,10,564,0,0.03492543205493102,15.791966429156707
11,1321,96913,710,484,10,564,0,0.03815122482298989,15.750841299920557
12,1548,96542,650,412,12,838,0,0.041634496857795904,15.70955080181026
13,1694,96161,799,498,11,839,0,0.04395909770522985,15.662903089785173
14,1836,95782,843,493,13,1035,0,0.04800438767163319,15.629544238204863
15,1982,95302,928,558,16,1215,1,0.050342949894813575,15.578126936755565
16,2095,94818,1064,616,17,1391,1,0.0543472049827676,15.540538992156133
17,2267,94275,1217,713,18,1511,1,0.05771474123780759,15.490489649980713
18,2510,93651,1412,813,16,1598,2,0.06199786608239963,15.441589633874157
19,2872,92910,1551,901,18,1748,2,0.06639003014281182,15.383001886449488
20,3185,92117,1756,1032,25,1885,2,0.07122876539184005,15.318904896467808
21,3582,91236,1911,1126,26,2119,2,0.07684890558822181,15.249518853629406
22,4031,90244,2070,1273,28,2354,2,0.08249174355148246,15.168415099687685
23,4446,89205,2252,1381,32,2684,2,0.08944577484363314,15.087880417080026
24,4808,88102,2476,1527,39,3047,3,0.09613713209934951,14.994134490486546
25,5232,86885,2725,1700,43,3414,3,0.10395405156948369,14.897116508327432
26,5554,85682,3003,1922,46,3791,4,0.11223005894047935,14.79101926635161
27,5895,84349,3411,2127,47,4169,4,0.12156215566796164,14.676942459705872
28,6263,82942,3763,2334,50,4646,4,0.13134959851132488,14.550535433322752
29,6701,81401,4148,2568,54,5126,4,0.1420090561582099,14.420716178345046
30,7008,79877,4573,2817,65,5658,4,0.15324653040175457,14.281725725447298
31,7527,78155,4909,3060,69,6278,4,0.16526669809904365,14.133655197431775
32,8051,76298,5258,3303,75,7010,7,0.1780051762123191,13.976318841374052
33,8556,74386,5660,3515,86,7791,8,0.19123955053122282,13.817815891034352
34,8936,72465,6045,3790,100,8658,8,0.20450131250458387,13.651067680034863
35,9332,70545,6317,4050,110,9639,9,0.21884180254753147,13.489152873804565
36,9636,68519,6701,4349,112,10674,11,0.2329983554849057,13.315184357820671
37,9751,66547,7132,4672,122,11764,14,0.24808666789075515,13.14513077969985
38,9850,64536,7572,4927,132,12971,14,0.26338139300718844,12.968638865080392
39,10022,62443,8050,5167,145,14161,14,0.27855400220981547,12.794622771594064
40,10129,60416,8418,5386,157,15479,17,0.2936524838429238,12.626644526493868
41,10136,58383,8740,5683,175,16866,19,0.3083353688764168,12.46045418068252
42,10256,56291,9057,5797,195,18384,22,0.3233539518052588,12.306021707764573
43,10294,54242,9421,5920,214,19887,24,0.33660035104260266,12.14689215999915
44,10103,52340,9648,6064,234,21587,26,0.3498728638881328,12.01209985142633
45,10062,50354,9792,6090,251,23421,32,0.3619617597430246,11.882200494213482
46,9912,48471,9888,6115,266,25313,37,0.37266465058318454,11.76720533314761
47,9602,46689,9963,6211,283,27211,43,0.38256966097633377,11.666914800464902
48,9334,44908,10056,6247,303,29110,44,0.391680402806588,11.57878347353975
49,9006,43334,10027,6152,315,31121,47,0.39939339571164023,11.50072842380717
