,e,s,i1,i2,c,r,d,compliance,contacts
0,270,99152,284,296,0,0,0,0.0427671131456858,16.330025844522357
1,476,98946,241,250,2,87,0,0.042584762526631306,15.901002014925547
2,656,98766,202,192,3,183,0,0.04222981390910301,15.901200070208958
3,794,98628,163,154,3,260,0,0.041814491228978574,15.904772610953115
4,633,98519,296,213,5,336,0,0.04141291434223382,15.910917553617741
5,712,98440,262,168,6,414,0,0.04189023168112779,15.917091553596146
6,662,98284,338,218,6,494,0,0.041648295184600795,15.908985935073499
7,641,98125,416,240,10,570,0,0.04222567529472768,15.913049230244466
8,756,97872,500,294,10,570,0,0.04226871753854063,15.906313178383732
9,931,97588,574,329,10,570,0,0.042865291673081694,15.90249504376106
10,1167,97273,618,364,10,570,0,0.043175204278588335,15.89266350344082
11,1403,96881,723,415,10,570,0,0.04347756811023822,15.88871052272853
12,1594,96531,657,370,19,831,0,0.044050501478789986,15.883626046096154
13,1747,96125,828,452,17,833,0,0.04380410806941162,15.873578553842203
14,1834,95754,881,477,18,1037,1,0.04436696776906532,15.873973038475453
15,1990,95283,947,546,20,1215,1,0.04465272256297011,15.864066279563382
16,2064,94817,1105,642,20,1353,1,0.04528326390996759,15.85937870488498
17,2228,94303,1237,751,19,1462,2,0.046173294358479444,15.84904119900218
18,2440,93685,1446,869,20,1540,2,0.04714169989546939,15.83349714025957
19,2735,93019,1559,971,18,1697,3,0.04828119813137013,15.816743345701902
20,3033,92250,1735,1107,19,1855,3,0.04934510655821841,15.797678012936776
21,3482,91335,1840,1215,22,2105,3,0.05059663429286928,15.777721599844078
22,3887,90416,1974,1311,25,2386,3,0.05173933852455465,15.753539470937582
23,4202,89483,2172,1416,28,2698,3,0.05266868982294954,15.732274473584075
24,4570,88449,2333,1529,23,3093,5,0.05381531630841454,15.71294515944155
25,4933,87317,2629,1652,27,3439,5,0.05477320525630726,15.695170689493827
26,5250,86085,2930,1860,28,3842,7,0.05609113575387035,15.67373916138706
27,5705,84711,3293,2045,38,4203,7,0.05815970247413408,15.649963918081722
28,6248,83235,3614,2186,44,4668,7,0.0597585230929496,15.61556894946233
29,6780,81669,3998,2370,55,5123,7,0.061358648229511425,15.588706310044028
30,7363,79954,4379,2607,60,5632,7,0.06327637324858394,15.562699165350107
31,7857,78228,4726,2874,71,6239,7,0.06556771439676742,15.528461627772096
32,8384,76327,5159,3149,79,6896,8,0.06822723431978256,15.489003329062196
33,8903,74332,5585,3430,90,7653,9,0.07101898212683175,15.444652668391582
34,9328,72341,5994,3672,97,8560,10,0.07372970525580652,15.39468373329551
35,9772,70182,6458,4004,107,9469,10,0.07624577793510073,15.350323437718684
36,10174,68054,6943,4312,116,10391,12,0.07928803942519748,15.311165516086225
37,10557,65770,7479,4643,126,11414,13,0.08254589087429841,15.262480340030718
38,10923,63409,8015,4970,134,12537,14,0.08559674300354637,15.212082097987278
39,11334,61007,8505,5239,137,13763,17,0.08889919648282599,15.165762551124475
40,11628,58554,8990,5539,150,15123,18,0.09148708079515899,15.123082183471073
41,12044,56010,9338,5843,153,16593,21,0.09444288096418872,15.086128410480056
42,12167,53603,9802,6097,171,18139,23,0.09758409316820649,15.050497782995794
43,12235,51174,10216,6329,178,19846,24,0.10001793646326748,15.012908205015242
44,12165,48842,10578,6643,189,21558,27,0.10223307079672192,14.985702548788462
45,11987,46567,10911,6862,186,23456,33,0.10539234039735791,14.964392140653535
46,11661,44349,11275,7047,204,25429,37,0.10759534745809082,14.930321130691592
47,11432,42171,11563,7175,220,27401,40,0.1095301205163839,14.908271356205253
48,11100,40074,11685,7323,236,29539,45,0.11075021263539796,14.89278698554883
49,10834,38008,11837,7375,256,31645,47,0.11264230360389632,14.88926977840469
50,10484,36083,11823,7380,275,33905,52,0.11329969904381625,14.879443967092516
51,10031,34318,11697,7363,286,36251,56,0.11352117080168389,14.886401389559005
52,9537,32634,11588,7248,297,38635,63,0.11339392721937833,14.899521486264437
53,8996,31078,11336,7144,316,41065,67,0.11229586604058922,14.917008829260261
54,8421,29587,10978,7024,331,43584,77,0.11179295188868839,14.943281044279178
55,7849,28234,10678,6842,352,45963,84,0.11061361165327276,14.968882754311531
56,7366,26952,10314,6542,368,48369,91,0.10894083954680128,15.004364838403372
57,6825,25809,9887,6321,387,50677,96,0.10638847163828322,15.039231506953852
58,6376,24702,9445,6044,401,52929,105,0.10423478902535897,15.084787394864872
59,5874,23713,9017,5745,408,55130,115,0.10190620027524516,15.126349281550945
60,5390,22844,8536,5401,420,57288,123,0.0991667196835597,15.162984217400492
61,4947,22005,8047,5075,410,59387,131,0.09595271257223359,15.210748974705663
62,4521,21288,7537,4662,410,61442,142,0.09266725951397715,15.260343067413181
63,4096,20606,7033,4348,409,63363,147,0.08857856931839474,15.311180786237284
64,3724,19989,6563,4042,406,65122,156,0.08551901762911875,15.365636293847844
65,3386,19458,6092,3698,398,66803,167,0.08286999030115443,15.408849142642548
66,3022,18983,5641,3432,372,68372,180,0.07920248183973169,15.444145407951323
67,2733,18555,5184,3115,355,69873,187,0.0765845241884,15.491219287303297
68,2448,18158,4755,2873,332,71243,193,0.07326048543981159,15.525277969254464
69,2183,17806,4337,2626,312,72536,202,0.0706731842881873,15.566274753376355
70,1995,17463,3952,2399,284,73693,216,0.06817505893045257,15.595035366461968
71,1812,17171,3561,2158,269,74804,227,0.0656824738406878,15.6262399803338
72,1620,16935,3227,1931,240,75815,234,0.06318968950643995,15.654903401117284
73,1437,16721,2941,1745,227,76690,241,0.06096160770549986,15.681611108564422
74,1278,16528,2643,1556,212,77536,249,0.059068800335143466,15.704636779991654
75,1119,16344,2397,1428,194,78264,256,0.05694181815519432,15.724239683933433
76,996,16175,2145,1290,170,78961,265,0.055439487316981596,15.744759636712821
77,888,16047,1932,1122,151,79592,270,0.05403381015125354,15.758393739728191
78,813,15908,1726,1011,147,80122,275,0.05213630444403413,15.774970714016652
79,740,15788,1541,914,126,80613,280,0.0509576298721041,15.793216060750252
80,668,15676,1381,830,124,81039,284,0.04999954558452939,15.805391842988639
81,578,15597,1240,743,119,81438,287,0.04905692559999366,15.81641123108585
82,519,15528,1105,654,109,81795,292,0.048181827407734995,15.826118032358245
83,437,15471,990,565,91,82150,298,0.047223322231433,15.836562850236787
84,382,15406,885,498,81,82451,299,0.04620848368274618,15.843407015673794
85,321,15355,806,453,75,82687,305,0.045597941502043576,15.854142076775076
86,304,15293,718,406,67,82905,309,0.04506497190131887,15.862080560381608
87,279,15249,636,364,60,83104,310,0.04444604701995735,15.865303648466824
88,262,15209,552,321,56,83292,310,0.04388549642353047,15.870300809324279
89,231,15175,496,273,51,83466,310,0.043575513457205985,15.875158730945424
90,210,15145,437,255,44,83601,310,0.04310581807665431,15.877075027909846
91,182,15111,387,228,42,83742,310,0.04284993627380802,15.881014782477427
92,160,15089,334,205,35,83868,311,0.04249503170500431,15.884338136578736
93,142,15067,284,183,36,83977,313,0.04225616812380059,15.887244070006952
94,119,15056,265,157,34,84057,314,0.04213610851195088,15.891331104873787
95,97,15048,235,148,32,84128,314,0.04174891667898579,15.893799981862518
96,73,15038,225,135,30,84187,314,0.041540406564126,15.89760997685462
97,64,15025,190,127,25,84257,314,0.041456781523053536,15.898451694138167
98,52,15015,177,111,18,84314,315,0.04144590428235336,15.899251467282497
99,56,15000,147,90,18,84376,315,0.041017145469047535,15.9003772586962
100,60,14988,133,68,18,84420,315,0.04108038313039014,15.90287247924592
101,58,14980,111,60,18,84460,315,0.04076665665974089,15.902259945121585
102,48,14977,96,54,16,84496,315,0.0405017128075734,15.906300277371335
103,43,14972,84,46,16,84525,316,0.04060191098605054,15.906458102075042
104,31,14969,76,35,12,84563,316,0.04058154962499778,15.907029493602163
105,24,14964,71,30,6,84590,317,0.040394741534323826,15.90775929113293
106,18,14962,60,27,4,84614,317,0.04003395415075502,15.909453198978815
107,20,14957,55,24,4,84625,317,0.04037682171386947,15.911572191238937
108,21,14951,53,23,4,84633,317,0.04017116837072019,15.909866035349305
109,21,14948,50,19,4,84643,317,0.04017380832708498,15.910445716625398
110,18,14946,42,19,5,84655,317,0.040059997794591906,15.910640808987411
111,20,14942,37,16,5,84665,317,0.04012658304435415,15.911839561985891
112,18,14939,26,17,4,84680,318,0.04013364953632392,15.911358075195654
113,13,14938,20,17,3,84693,318,0.040083891025405896,15.911313610103813
114,11,14937,18,14,4,84700,318,0.0400229355268555,15.91209872044666
115,9,14937,18,13,3,84704,318,0.04002000298729045,15.913028234297151
116,6,14936,16,14,3,84709,318,0.03996696780270681,15.912568463177935
117,4,14935,15,15,3,84712,318,0.04005556292044085,15.912663860688458
118,5,14933,13,13,4,84716,318,0.04005245264331824,15.911942776683006
119,5,14932,12,13,3,84719,318,0.04012475792981315,15.911994744590007
120,5,14932,10,10,3,84724,318,0.039948264236921084,15.912557714746352
121,5,14931,10,5,3,84730,318,0.040104535245936664,15.912627127592229
122,4,14931,9,4,2,84734,318,0.03999679992151611,15.910965695436088
123,2,14931,9,4,2,84736,318,0.03997321127471339,15.913793146697456
124,1,14931,7,3,2,84740,318,0.039850694289673895,15.91238979636929
125,1,14931,5,2,2,84743,318,0.03987378535895123,15.913343240019499
126,0,14931,5,2,1,84745,318,0.039716385930363876,15.91492168934841
127,0,14931,5,1,1,84746,318,0.039748779321650635,15.915375438229148
128,0,14931,5,1,1,84746,318,0.039985753837385486,15.913954669633046
129,0,14931,4,1,1,84747,318,0.03990057472147925,15.911887205104984
130,0,14931,3,1,0,84749,318,0.040044679648862075,15.912989752703604
131,0,14931,1,1,0,84751,318,0.03988469018499631,15.910393057275476
132,2,14929,1,0,0,84752,318,0.040020934528976516,15.91313495233507
133,2,14929,1,0,0,84752,318,0.0398061972730187,15.91358336863305
134,2,14929,0,0,0,84753,318,0.0399440428460545,15.91329680821666
135,2,14929,0,0,0,84753,318,0.03998215257903052,15.9124961728506
136,2,14929,0,0,0,84753,318,0.0397712096104801,15.91372963512464
137,0,14929,0,2,0,84753,318,0.039965256624263985,15.913047231145686
138,0,14929,0,2,0,84753,318,0.039812353970252276,15.911898450026518
139,0,14929,0,2,0,84753,318,0.040096351613928265,15.913227781211129
140,0,14929,0,2,0,84753,318,0.040068715431895906,15.910601268952377
141,0,14929,0,2,0,84753,318,0.03993032906933737,15.910684753102403
142,0,14929,0,2,0,84753,318,0.03985595561546386,15.913389137944568
143,0,14929,0,2,0,84753,318,0.03994219069159548,15.913735230549456
144,0,14929,0,2,0,84753,318,0.04001921102800431,15.91252820539954
145,0,14929,0,0,0,84755,318,0.03995457460494609,15.912838930065947
146,0,14929,0,0,0,84755,318,0.03986629670340458,15.912273479660307
147,0,14929,0,0,0,84755,318,0.039801126033684686,15.91410973028094
148,0,14929,0,0,0,84755,318,0.03983007694661543,15.915228232822253
149,0,14929,0,0,0,84755,318,0.03984206685616683,15.91470469096606
150,0,14929,0,0,0,84755,318,0.03989360454767223,15.912594604149394
151,0,14929,0,0,0,84755,318,0.04003946150518917,15.91268597227365
152,0,14929,0,0,0,84755,318,0.03986131369539884,15.91141328097276
153,0,14929,0,0,0,84755,318,0.03989204036241114,15.91241968304432
154,0,14929,0,0,0,84755,318,0.03980243513151521,15.913392803104992
155,0,14929,0,0,0,84755,318,0.04000343544359028,15.9152588369
156,0,14929,0,0,0,84755,318,0.039960818733037265,15.912903841269115
157,0,14929,0,0,0,84755,318,0.039916097344971146,15.912714847156694
158,0,14929,0,0,0,84755,318,0.04000820751767426,15.911268107085482
159,0,14929,0,0,0,84755,318,0.04016032903809387,15.911371212156196
160,0,14929,0,0,0,84755,318,0.040022070071627516,15.910902246982861
161,0,14929,0,0,0,84755,318,0.03987117382084198,15.912241436107285
162,0,14929,0,0,0,84755,318,0.03981906915448658,15.914329293030224
163,0,14929,0,0,0,84755,318,0.04004999276440285,15.913002061208969
164,0,14929,0,0,0,84755,318,0.03970306106394095,15.912581758683885
165,0,14929,0,0,0,84755,318,0.03997114039649207,15.914833686628128
166,0,14929,0,0,0,84755,318,0.03997633583674705,15.911414278230822
167,0,14929,0,0,0,84755,318,0.03982377503003057,15.91336370531036
168,0,14929,0,0,0,84755,318,0.03986843488558442,15.913763666836303
169,0,14929,0,0,0,84755,318,0.039828558983443764,15.914335620665758
170,0,14929,0,0,0,84755,318,0.0398085117607657,15.914477920882993
171,0,14929,0,0,0,84755,318,0.03998707364755837,15.914329736263278
172,0,14929,0,0,0,84755,318,0.0398985245567015,15.911903092217344
173,0,14929,0,0,0,84755,318,0.039779950457263694,15.91380967277082
174,0,14929,0,0,0,84755,318,0.040006179197732486,15.913865079652512
175,0,14929,0,0,0,84755,318,0.039833742800050434,15.913695432204635
176,0,14929,0,0,0,84755,318,0.039952701889865765,15.915356465635561
177,0,14929,0,0,0,84755,318,0.03979746448499395,15.913514939040164
178,0,14929,0,0,0,84755,318,0.03996324522757876,15.914780177395185
179,0,14929,0,0,0,84755,318,0.03991935168270787,15.913156933813736
