,e,s,i1,i2,c,r,d,compliance,contacts
0,277,99152,287,286,0,0,0,0.8785734065498051,8.325369213197085
1,422,99007,243,243,2,85,0,0.8785815110249359,8.322798130850723
2,546,98883,207,210,4,152,0,0.8733747711430282,8.331428305074777
3,642,98787,163,175,6,229,0,0.8715163839866779,8.360804832447249
4,444,98708,290,244,8,308,0,0.8685084821703084,8.378395392669592
5,508,98644,241,207,9,393,0,0.8662674333323691,8.396979237761926
6,475,98532,275,222,12,486,0,0.8641330608366289,8.412371862978885
7,447,98436,320,226,14,559,0,0.862301313127816,8.426977265996516
8,600,98187,376,266,14,559,0,0.8606544668621652,8.438515533195522
9,827,97881,433,288,14,559,0,0.8593459375832989,8.449487728969803
10,1046,97598,468,317,14,559,0,0.8580759374140216,8.458366074210378
11,1156,97376,534,363,14,559,0,0.8570651091922983,8.466787035856536
12,1253,97183,436,280,24,826,0,0.8561632520426757,8.473419138122214
13,1171,97016,586,379,22,828,0,0.8555021756932408,8.47864380933899
14,990,96891,698,428,20,974,1,0.8550562552256886,8.482930643516102
15,862,96736,796,489,21,1096,2,0.854566974700333,8.485883191258372
16,812,96564,879,532,19,1193,3,0.8546378805857268,8.48804905354041
17,806,96377,940,585,19,1272,3,0.8543638053458464,8.487157082528627
18,829,96187,1006,622,19,1334,5,0.854636082484993,8.487514481905167
19,907,95984,1015,626,19,1445,6,0.8546800982826745,8.484325590021307
20,1009,95727,1047,653,21,1539,6,0.8549559848430227,8.482864854302703
21,1082,95482,1004,619,27,1782,6,0.8552108475015362,8.480310666653958
22,1150,95227,934,570,29,2086,6,0.8556663266664869,8.47776368221302
23,1239,94948,871,540,32,2366,6,0.8560156354048475,8.474379561131663
24,1273,94711,854,538,22,2595,9,0.8564208228550625,8.47158066771119
25,1256,94471,894,562,23,2787,9,0.8566846053162072,8.46918144614444
26,1270,94212,951,583,25,2952,9,0.8569993182566454,8.467283919843291
27,1277,93950,1035,629,23,3079,9,0.8572468700818789,8.464943259143464
28,1261,93687,1122,666,25,3232,9,0.8575572720490565,8.462960075349907
29,1350,93361,1161,692,25,3404,9,0.8577194005604399,8.460928042297413
30,1426,93045,1191,715,24,3590,11,0.8579431076652669,8.459957280995877
31,1485,92727,1241,734,24,3780,11,0.8580469406049231,8.458778682677547
32,1547,92403,1265,769,26,3980,12,0.8581646959569971,8.457997717763075
33,1652,92035,1278,762,21,4242,12,0.852863806912142,8.466663434673162
34,1666,91695,1315,806,20,4487,13,0.8509023728541237,8.497225719361458
35,1730,91315,1350,832,21,4738,16,0.8478761430675,8.516069998599674
36,1784,90943,1379,842,25,5013,16,0.8456275750708575,8.531038834012941
