,e,s,i1,i2,c,r,d,compliance,contacts
0,298,99152,277,275,0,0,0,0.007793280732139437,16.51526732574296
1,473,98977,247,239,0,66,0,0.010080684431914387,16.41525082330939
2,660,98790,201,192,0,159,0,0.01563836076606267,16.368103198518416
3,814,98636,151,166,1,234,0,0.018821930817168552,16.30738373493482
4,662,98490,309,233,2,306,0,0.022204926486495746,16.26323770280897
5,737,98415,268,191,5,386,0,0.025798727991678632,16.222741020479194
6,749,98228,340,207,9,469,0,0.028305020980400764,16.177714666839123
7,687,98103,414,246,9,543,0,0.032070412417548044,16.14379235206703
8,763,97873,509,305,9,543,0,0.0347246162147775,16.097228170809384
9,898,97592,604,356,9,543,0,0.03811396317301316,16.05830118163248
10,1148,97267,654,381,9,543,0,0.04118378177869593,16.015816593892357
11,1351,96877,785,437,9,543,0,0.044168954186708805,15.97412606093938
12,1605,96498,667,382,11,839,0,0.04747010920721211,15.935409931899981
13,1784,96089,814,465,11,839,0,0.049992229277995716,15.891698575673919
14,1827,95765,884,501,16,1009,0,0.05368519158831028,15.853493021019526
15,1964,95303,981,542,17,1195,0,0.05717159861571313,15.805294742211531
16,2026,94851,1109,650,19,1347,0,0.06115288710511017,15.758804723898688
17,2157,94341,1248,744,18,1494,0,0.06573174336503339,15.70615598879323
18,2407,93682,1461,865,15,1572,0,0.07034092115997466,15.642656165744112
19,2818,92947,1549,914,18,1756,0,0.07522295735910652,15.57625592825409
20,3114,92189,1762,1038,18,1881,0,0.08023741140274603,15.508711850115189
21,3438,91413,1895,1127,22,2107,0,0.08584141050117194,15.441986252177445
22,3844,90497,2032,1219,26,2384,0,0.09207774510580585,15.364774529682185
23,4188,89494,2235,1350,29,2706,0,0.09907698073242124,15.276492782409985
24,4499,88448,2484,1446,32,3093,0,0.10684174571027134,15.181087169036747
25,4824,87365,2716,1593,36,3468,0,0.11497114388873401,15.078027602944754
26,5130,86283,2927,1749,37,3875,1,0.12341308972694506,14.972984116576226
27,5489,85008,3271,1997,37,4199,1,0.13208901580261778,14.862528133149839
28,5869,83625,3579,2230,39,4659,1,0.14153927851959694,14.747227672307396
29,6248,82200,3956,2447,40,5109,2,0.15178466329396323,14.617548347860756
30,6704,80661,4317,2659,44,5615,2,0.16258716257693412,14.482937788649279
31,7206,79077,4576,2823,47,6271,2,0.17469933905231486,14.341926048426938
32,7637,77371,4896,3043,61,6992,2,0.18625699598927342,14.190878523369927
33,8089,75536,5277,3287,70,7740,3,0.20015674353932075,14.039597820207293
34,8460,73740,5664,3549,76,8508,5,0.2138490624906578,13.862020269662372
